label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds,n_instances
stage_binary,Standard 80/20,GradientBoosting,0.9747,0.9367,1.0,0.9737,0.9737,0.9332,1.0,0.9747,1.0,0.0253,0.9898,0.9747,312.0,79.0,,,,
stage_binary,Standard 80/20,RandomForest,0.962,0.9241,1.0,0.9581,0.9604,0.914,1.0,0.9619,0.9808,0.0188,0.9161,0.7089,312.0,79.0,,,,
stage_binary,Standard 80/20,LogisticRegression,0.9494,0.8987,0.9873,0.9425,0.9469,0.8912,0.9871,0.9491,0.9615,0.0121,0.8998,0.6582,312.0,79.0,,,,
stage_binary,Standard 80/20,ExtraTrees,0.9494,0.8987,0.9873,0.9375,0.9463,0.8894,0.9871,0.9487,0.9808,0.0314,0.9331,0.7342,312.0,79.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,0.9367,0.8861,0.9873,0.9131,0.92,0.838,0.9804,0.9362,1.0,0.0633,0.9847,0.9494,312.0,79.0,,,,
stage_binary,LOIO,GradientBoosting,0.9679,0.9498,0.9859,0.9245,0.9011,0.8368,0.9654,0.9689,,,,,,,,0.8957,,30.0
behavior_stage,Standard 80/20,RandomForest,0.9114,0.8481,0.9747,0.8739,0.8815,0.7895,0.958,0.9114,0.9615,0.0501,0.8993,0.7215,312.0,79.0,,,,
behavior_stage,LOIO,GradientBoosting,0.9344,0.911,0.9578,0.9009,0.8777,0.8194,0.936,0.9369,,,,,,,,0.8668,,30.0
behavior_stage,Standard 80/20,ExtraTrees,0.8987,0.8354,0.962,0.8626,0.8711,0.7723,0.9502,0.8992,0.9679,0.0692,0.8975,0.6329,312.0,79.0,,,,
behavior_stage,Standard 80/20,LogisticRegression,0.8608,0.7848,0.9241,0.849,0.8446,0.7505,0.9192,0.862,0.9615,0.1007,0.8989,0.6329,312.0,79.0,,,,
behavior_stage,LOIO,LogisticRegression,0.8966,0.8629,0.9303,0.8689,0.8309,0.7648,0.8969,0.9002,,,,,,,,0.8092,,30.0
stage_binary,LOIO,LogisticRegression,0.9308,0.9053,0.9563,0.8658,0.8253,0.749,0.9016,0.9295,,,,,,,,0.805,,30.0
behavior_stage,LOIO,ExtraTrees,0.8941,0.863,0.9252,0.858,0.8019,0.7333,0.8706,0.8914,,,,,,,,0.8,,30.0
stage_binary,LOIO,ExtraTrees,0.9181,0.8852,0.9511,0.8227,0.7981,0.7113,0.8848,0.9145,,,,,,,,0.7891,,30.0
behavior_stage,LOIO,RandomForest,0.894,0.8606,0.9273,0.8451,0.7809,0.7045,0.8573,0.8864,,,,,,,,0.7748,,30.0
stage_binary,LOIO,RandomForest,0.9104,0.8803,0.9405,0.8126,0.7456,0.6567,0.8345,0.909,,,,,,,,0.7567,,30.0
stage_binary,LOO,RandomForest,0.7582,0.6581,0.8584,0.5736,0.5753,0.4122,0.7384,0.7682,,,,,,,1.0,0.5776,4.0,
stage_binary,LOO,ExtraTrees,0.7054,0.498,0.9129,0.5363,0.5462,0.3599,0.7325,0.7251,,,,,,,1.0,0.5493,4.0,
stage_binary,LOO,GradientBoosting,0.602,0.4743,0.7297,0.5391,0.5095,0.3283,0.6907,0.6546,,,,,,,0.9333,0.5123,4.0,
stage_binary,LOO,LogisticRegression,0.5822,0.3738,0.7906,0.5115,0.481,0.3191,0.6428,0.623,,,,,,,0.9867,0.4839,4.0,
behavior_stage,LOO,RandomForest,0.6602,0.5417,0.7787,0.5717,0.4794,0.3157,0.6431,0.6586,,,,,,,1.0,0.4813,4.0,
behavior_stage,LOO,ExtraTrees,0.634,0.5133,0.7548,0.5339,0.4464,0.3226,0.5701,0.6305,,,,,,,1.0,0.4482,4.0,
behavior_stage,LOO,GradientBoosting,0.5143,0.4116,0.617,0.5448,0.4202,0.2975,0.5428,0.5238,,,,,,,1.0,0.4221,4.0,
behavior_stage,LOO,LogisticRegression,0.5018,0.427,0.5766,0.4665,0.393,0.2778,0.5083,0.5035,,,,,,,1.0,0.3948,4.0,
