model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9875,0.0255,0.9775,0.9975,0.9839,0.953,0.9148,0.1924,0.8394,0.9902,0.8905,0.9875,25,1.0,1.0,0.5871,0.987
LogisticRegression,0.9579,0.0522,0.9375,0.9784,0.9486,0.9043,0.8641,0.2058,0.7835,0.9448,0.8372,0.9574,25,0.9474,0.8283,0.6903,0.9073
ExtraTrees,0.9461,0.0593,0.9229,0.9693,0.9357,0.8472,0.8167,0.2291,0.7268,0.9065,0.788,0.9398,25,0.8947,0.6014,0.7936,0.8988
RandomForest,0.9388,0.0686,0.9119,0.9657,0.9421,0.8639,0.8155,0.219,0.7296,0.9013,0.8253,0.9467,25,0.7807,0.7946,0.7936,0.9279
