model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.6228,0.2814,0.3044,0.9412,0.6271,0.3792,0.3716,0.1058,0.2519,0.4913,0.3733,0.6234,3,1.0,0.2692,0.4805,0.3651
ExtraTrees,0.6,0.3631,0.1891,1.0109,0.6059,0.365,0.3529,0.1472,0.1863,0.5195,0.3555,0.5919,3,1.0,0.2,0.4937,0.3651
LogisticRegression,0.4623,0.2016,0.2342,0.6904,0.4661,0.3708,0.3166,0.1138,0.1878,0.4455,0.3188,0.5065,3,1.0,0.1915,0.4141,0.3443
GradientBoosting,0.45,0.1887,0.2364,0.6636,0.4534,0.279,0.3022,0.0939,0.196,0.4084,0.3039,0.5027,3,0.88,0.2,0.3846,0.322
