model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
GradientBoosting,248,63,0.9841,0.9783,0.9827,0.984,1.0,0.0159,0.9524,1.0,0.9426,1.0,95,1000,0.9996,0.9774,1.0,1.0,1.0
RandomForest,248,63,0.9524,0.9533,0.9491,0.9526,0.9879,0.0355,0.8889,1.0,0.8764,1.0,95,1000,0.9554,0.6944,0.8254,0.9683,1.0
ExtraTrees,248,63,0.9365,0.9223,0.9302,0.9358,0.9879,0.0514,0.873,0.9841,0.8563,0.9835,95,1000,0.9346,0.5165,0.8254,0.8889,1.0
LogisticRegression,248,63,0.9206,0.9098,0.9136,0.9202,0.9839,0.0633,0.8413,0.9841,0.8278,0.9819,95,1000,0.9237,0.638,0.7143,0.9365,1.0
