model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.6263,0.3261,0.2573,0.9953,0.6313,0.3801,0.3688,0.1231,0.2294,0.5081,0.3708,0.6194,3,0.9867,0.2475,0.4937,0.3651
ExtraTrees,0.5792,0.3593,0.1726,0.9858,0.5847,0.3498,0.3449,0.1452,0.1806,0.5092,0.3474,0.5809,3,1.0,0.2,0.4904,0.3443
LogisticRegression,0.505,0.2117,0.2654,0.7446,0.5085,0.3907,0.3403,0.1148,0.2104,0.4701,0.3421,0.5469,3,1.0,0.2323,0.4608,0.3277
GradientBoosting,0.4967,0.1989,0.2717,0.7217,0.5,0.3052,0.3239,0.0898,0.2223,0.4256,0.3255,0.5414,3,0.8933,0.2323,0.4118,0.3277
