model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
LogisticRegression,212,54,0.963,0.9643,0.963,0.963,0.9858,0.0228,0.9074,1.0,0.9034,1.0,95,1000,0.8967,0.5147,0.7037,0.8519,1.0
XGBoost,212,54,0.9444,0.9437,0.9443,0.9444,0.9953,0.0509,0.8884,1.0,0.8749,1.0,95,1000,0.9036,0.5576,0.6481,0.9444,1.0
ExtraTrees,212,54,0.9444,0.9423,0.944,0.9442,0.9811,0.0367,0.8889,1.0,0.8781,1.0,95,1000,0.9298,0.5556,0.7963,0.9074,1.0
RandomForest,212,54,0.9074,0.9066,0.9071,0.9073,0.9811,0.0737,0.8148,0.9815,0.8146,0.9812,95,1000,0.9283,0.5803,0.7778,0.9074,1.0
GradientBoosting,212,54,0.8333,0.8352,0.8333,0.8332,1.0,0.1667,0.7407,0.9259,0.7314,0.9259,95,1000,1.0,0.9999,1.0,1.0,1.0
