model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
RandomForest,0.9788,0.0569,0.9584,0.9992,0.9737,0.9798,0.977,0.0639,0.9541,0.9998,0.9715,0.9786,30,1.0,0.9436,0.9183,1.0,1.0
ExtraTrees,0.9758,0.0713,0.9502,1.0013,0.9699,0.972,0.9703,0.0911,0.9377,1.0029,0.9632,0.9736,30,1.0,0.9624,0.8595,1.0,1.0
GradientBoosting,0.9743,0.0602,0.9528,0.9959,0.9699,0.9702,0.968,0.0804,0.9392,0.9968,0.9625,0.9724,30,1.0,0.9442,0.8638,1.0,1.0
XGBoost,0.9611,0.0897,0.9289,0.9932,0.9549,0.9512,0.9526,0.1114,0.9127,0.9924,0.9454,0.9595,30,1.0,0.9067,0.8088,1.0,1.0
LogisticRegression,0.9658,0.0627,0.9433,0.9882,0.9624,0.9634,0.9503,0.1143,0.9094,0.9912,0.9514,0.9681,30,0.9444,0.8965,0.9354,0.9812,1.0
