model,mean_accuracy,Cerber,Dharma,Jigsaw,WannaCry
SVM,0.774,0.5686,0.9818,0.5455,1.0
LogisticRegression,0.7596,0.5294,0.9818,0.5455,0.9818
GradientBoosting,0.7552,0.7843,0.9818,0.5273,0.7273
RandomForest,0.7327,0.549,0.9818,0.5455,0.8545
ExtraTrees,0.7324,0.5294,0.9455,0.5455,0.9091
KNN,0.71,0.549,0.8909,0.5455,0.8545
XGBoost,0.6418,0.549,0.9818,0.5273,0.5091
