label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds
stage_binary,Standard 80/20,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,-0.003,0.9933,0.9759,328.0,83.0,,,
stage_binary,Standard 80/20,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996,0.988,328.0,83.0,,,
stage_binary,Standard 80/20,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,-0.003,0.9641,1.0,328.0,83.0,,,
stage_binary,Standard 80/20,ExtraTrees,0.9759,0.9398,1.0,0.9758,0.9758,0.9389,1.0,0.9759,0.9939,0.018,0.9724,0.9157,328.0,83.0,,,
stage_binary,Standard 80/20,LogisticRegression,0.9759,0.9398,1.0,0.9758,0.9758,0.9394,1.0,0.9759,0.997,0.0211,0.9448,0.8434,328.0,83.0,,,
stage_binary,LOO,GradientBoosting,0.9242,0.7849,1.0635,0.9383,0.9226,0.7831,1.0621,0.9256,,,,,,,0.0,0.9244,3.0
behavior_stage,Standard 80/20,XGBoost,0.9277,0.8675,0.9759,0.8859,0.8995,0.7941,0.972,0.9268,1.0,0.0723,0.9058,0.759,328.0,83.0,,,
behavior_stage,Standard 80/20,LogisticRegression,0.9277,0.8675,0.9759,0.8879,0.8867,0.7831,0.9681,0.9275,0.9909,0.0632,0.9132,0.7349,328.0,83.0,,,
behavior_stage,Standard 80/20,GradientBoosting,0.9157,0.8554,0.9759,0.872,0.8773,0.7672,0.9581,0.9157,1.0,0.0843,0.9953,0.988,328.0,83.0,,,
behavior_stage,Standard 80/20,ExtraTrees,0.9277,0.8675,0.9759,0.8666,0.8742,0.7661,0.9585,0.927,0.9817,0.054,0.9151,0.759,328.0,83.0,,,
behavior_stage,Standard 80/20,RandomForest,0.9036,0.8434,0.9639,0.8601,0.8676,0.7626,0.9462,0.9034,0.9573,0.0537,0.9177,0.7229,328.0,83.0,,,
stage_binary,LOO,XGBoost,0.8219,0.4821,1.1617,0.86,0.8122,0.4563,1.168,0.8009,,,,,,,0.0,0.8168,3.0
stage_binary,LOO,RandomForest,0.7736,0.598,0.9493,0.7799,0.7624,0.5881,0.9367,0.7725,,,,,,,0.6,0.7637,3.0
stage_binary,LOO,LogisticRegression,0.669,0.4089,0.9291,0.7115,0.653,0.3959,0.9102,0.6511,,,,,,,0.75,0.656,3.0
stage_binary,LOO,ExtraTrees,0.6518,0.2969,1.0066,0.698,0.6302,0.2508,1.0097,0.6148,,,,,,,0.75,0.6348,3.0
behavior_stage,LOO,ExtraTrees,0.6185,0.4023,0.8346,0.6341,0.5452,0.3076,0.7828,0.6012,,,,,,,0.75,0.5478,3.0
behavior_stage,LOO,RandomForest,0.6582,0.4908,0.8257,0.5783,0.5354,0.4292,0.6415,0.6444,,,,,,,0.75,0.5365,3.0
behavior_stage,LOO,LogisticRegression,0.5612,0.4399,0.6825,0.5834,0.4756,0.3318,0.6194,0.5484,,,,,,,0.75,0.4775,3.0
behavior_stage,LOO,XGBoost,0.5463,0.4732,0.6195,0.5006,0.4524,0.4072,0.4977,0.5364,,,,,,,0.75,0.453,3.0
behavior_stage,LOO,GradientBoosting,0.4309,0.3338,0.528,0.4303,0.3555,0.2143,0.4967,0.3974,,,,,,,0.75,0.3557,3.0
