model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
GradientBoosting,248,63,0.9841,0.9783,0.9827,0.984,1.0,0.0159,0.9524,1.0,0.9426,1.0,95,1000,0.9995,0.9761,1.0,1.0,1.0
RandomForest,248,63,0.9524,0.9533,0.9491,0.9526,0.9839,0.0315,0.8889,1.0,0.8764,1.0,95,1000,0.9476,0.6178,0.8413,0.9048,1.0
LogisticRegression,248,63,0.9206,0.9098,0.9136,0.9202,0.9919,0.0713,0.8413,0.9841,0.8278,0.9819,95,1000,0.9216,0.6238,0.746,0.9524,1.0
ExtraTrees,248,63,0.9206,0.9005,0.9117,0.9193,0.9879,0.0673,0.8571,0.9841,0.8324,0.9814,95,1000,0.9328,0.5126,0.8095,0.873,1.0
