model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.6182,0.3,0.2787,0.9577,0.6229,0.3763,0.368,0.1145,0.2384,0.4976,0.3699,0.6172,3,0.9867,0.2549,0.4839,0.3651
ExtraTrees,0.5667,0.3711,0.1467,0.9866,0.572,0.3388,0.3386,0.1475,0.1716,0.5055,0.3409,0.5736,3,1.0,0.2,0.4937,0.322
LogisticRegression,0.4789,0.2272,0.2218,0.7361,0.483,0.3782,0.3245,0.1264,0.1814,0.4675,0.3267,0.5194,3,1.0,0.1915,0.4431,0.3388
GradientBoosting,0.48,0.1738,0.2833,0.6767,0.483,0.2966,0.318,0.0812,0.226,0.4099,0.3194,0.5299,3,0.88,0.2323,0.3939,0.3277
