model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9848,0.0276,0.974,0.9956,0.9807,0.943,0.9074,0.1925,0.832,0.9829,0.8815,0.9845,25,1.0,0.963,0.5871,0.987
RandomForest,0.9584,0.0597,0.935,0.9818,0.9614,0.8907,0.8733,0.1954,0.7967,0.9499,0.8782,0.9612,25,0.8889,0.852,0.7936,0.9432
LogisticRegression,0.9579,0.0522,0.9375,0.9784,0.9486,0.9043,0.8641,0.2058,0.7835,0.9448,0.8372,0.9574,25,0.9474,0.8283,0.6903,0.9073
ExtraTrees,0.9393,0.0555,0.9175,0.961,0.9357,0.8475,0.7705,0.2369,0.6777,0.8634,0.7574,0.9408,25,0.7866,0.6752,0.6903,0.9141
