feature,importance
pslist_wow64_count,0.2915121336485231
pslist_parent_missing_count,0.0732602118489509
vad_avg_regions_per_process,0.05676752477868209
ldrmodules_not_in_init,0.05259764694489227
ldrmodules_not_in_load,0.03724785863222463
filescan_total,0.03652658457553406
cmdline_unusual_dir_ratio,0.03466554138518655
cmdline_unusual_dir_count,0.03337635734254609
cmdline_avg_length,0.02961564576001498
netstat_total,0.02942540741757553
psscan_count,0.02689870299864171
handle_registry_ratio,0.022494029215680618
cmdline_suspicious_count,0.019992613854493184
handle_semaphore_count,0.01891538713524422
cmdline_script_tool_count,0.017508994374943167
vad_total,0.016879799915516323
ldrmodules_total,0.013366669712996741
pslist_exited_count,0.012882064540250024
vad_rwx_pid_count,0.011961897440761862
vad_priv_exec_ratio,0.010305678730637424
handle_section_count,0.010304723635162239
handle_avg_per_process,0.009601475219199372
ldrmodules_max_per_process,0.009576287930848132
handle_mutex_count,0.008896995340716576
handle_file_ratio,0.008603086145856628
dlllist_unusual_path_ratio,0.008361530143359235
malfind_rwx_ratio,0.007193092662447349
dlllist_unusual_path_hit_count,0.007143436978414719
vad_rwx_region_count,0.007127301099190565
ldrmodules_not_in_mem,0.006551461172313201
svcscan_stopped,0.006465428336476376
dlllist_unusual_path_pid_count,0.00599547185876894
vad_private_region_count,0.00564678607253758
dlllist_avg_per_process,0.005317353233247378
pslist_avg_children,0.005180365782935997
hidden_process_count,0.005154466481357403
handle_thread_count,0.0047920773478093434
svcscan_security_stopped,0.0038522548322515544
dlllist_avg_load_total_per_process,0.0029779462699619165
pslist_ransom_procs,0.0022466963323775216
pslist_avg_threads,0.001958623709094098
dlllist_non_system,0.0019310909433586851
dlllist_crypto_ratio,0.0018296144044910767
vad_exec_count,0.0017308846945679273
vad_rwx_ratio,0.0015219735623149665
ldrmodules_avg_per_process,0.0013449975410245525
vad_private_exec,0.0013019992632319953
ldrmodules_suspicious_path_pid_count,0.001297619831535951
handle_mutex_ratio,0.0012140666745689655
svcscan_running,0.0008964784818673661
handle_token_count,0.0008831349699387832
priv_total_enabled,0.0008093734505141499
vad_pid_count,0.0007097010819784369
signal_injection_score,0.0005703401899046048
dlllist_crypto_hit_count,0.0005195382775125588
netstat_listening,0.0005152918373325069
handle_timer_count,0.00044398065865763593
handle_directory_count,0.00041125904081970284
handle_process_count,0.0004086614038778591
handle_port_count,0.00039870320587302293
vad_private_ratio,0.00038131244515260783
pslist_max_children,0.0002632885092865306
handle_file_count,0.00024634201195451424
handle_event_count,0.00022671890991641372
vad_exec_ratio,0.00018518728646002577
dlllist_total,0.0001435134868471553
netstat_outbound_count,0.00013132877183130967
malfind_private_exec,0.00011315476114869367
netstat_established_ratio,9.167490291247804e-05
malfind_rwx_pid_count,8.636803656655996e-05
tier1_composite,4.4031555212208646e-05
vad_private_pid_count,3.857559912698573e-05
handle_registry_count,3.295844130306141e-05
netstat_outbound_ratio,3.0519508004333265e-05
ldrmodules_suspicious_path_ratio,2.3699485864951917e-05
dlllist_max_load_total_per_process,2.2716143049281914e-05
vad_max_regions_per_process,2.061065436935032e-05
dlllist_unique_dlls,1.876913661470978e-05
svcscan_total,7.167917852609782e-06
malfind_rwx_region_count,3.1155099508799854e-06
handle_total,1.751927580256233e-06
pslist_unique_names,5.535730739631502e-07
dlllist_avg_max_loadcount_per_process,3.206936424887828e-07
netstat_established,3.0652974944098043e-10
handle_desktop_count,6.327342720607433e-11
malfind_avg_regions_per_process,7.040058254650012e-12
cmdline_with_args,4.3133517874374604e-12
pslist_count,1.0934201973997138e-13
malfind_pid_count,2.0355894876382614e-14
cmdline_count,0.0
pslist_wannacry_procs,0.0
cmdline_max_length,0.0
malfind_count,0.0
malfind_private,0.0
malfind_max_regions_per_process,0.0
ldrmodules_suspicious_path_hit_count,0.0
netstat_unique_ips,0.0
