model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.4829,0.2254,0.2278,0.7379,0.4855,0.4524,0.3676,0.1734,0.1714,0.5639,0.37,0.5018,3,,0.1874,0.5333,0.3822
ExtraTrees,0.4435,0.2839,0.1223,0.7648,0.4469,0.4053,0.2942,0.1747,0.0965,0.4919,0.2963,0.4724,3,,0.1294,0.4774,0.2758
LogisticRegression,0.4091,0.1786,0.207,0.6112,0.4116,0.3909,0.2887,0.1122,0.1618,0.4156,0.2903,0.4418,3,1.0,0.1606,0.3361,0.3694
GradientBoosting,0.257,0.078,0.1687,0.3453,0.2572,0.3152,0.1978,0.0875,0.0988,0.2968,0.1982,0.2991,3,1.0,0.1668,0.1301,0.2966
