model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
RandomForest,0.7582,0.1022,0.6581,0.8584,0.7595,0.5736,0.5753,0.1664,0.4122,0.7384,0.5776,0.7682,4,1.0,0.3968,0.4737,0.6866,0.7442
ExtraTrees,0.7054,0.2117,0.498,0.9129,0.7089,0.5363,0.5462,0.1901,0.3599,0.7325,0.5493,0.7251,4,1.0,0.3028,0.4872,0.6978,0.697
GradientBoosting,0.602,0.1303,0.4743,0.7297,0.6044,0.5391,0.5095,0.1849,0.3283,0.6907,0.5123,0.6546,4,0.9333,0.2897,0.4256,0.6375,0.6851
LogisticRegression,0.5822,0.2127,0.3738,0.7906,0.5854,0.5115,0.481,0.1652,0.3191,0.6428,0.4839,0.623,4,0.9867,0.2475,0.5218,0.5175,0.637
