model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9679,0.0503,0.9498,0.9859,0.9668,0.9245,0.9011,0.1797,0.8368,0.9654,0.8957,0.9689,30,0.9444,0.9255,0.6903,0.9019,1.0
LogisticRegression,0.9308,0.0713,0.9053,0.9563,0.9207,0.8658,0.8253,0.2132,0.749,0.9016,0.805,0.9295,30,0.8918,0.6011,0.7936,0.8883,0.8854
ExtraTrees,0.9181,0.092,0.8852,0.9511,0.913,0.8227,0.7981,0.2424,0.7113,0.8848,0.7891,0.9145,30,0.8889,0.4448,0.7936,0.7974,0.9749
RandomForest,0.9104,0.0841,0.8803,0.9405,0.913,0.8126,0.7456,0.2483,0.6567,0.8345,0.7567,0.909,30,0.7251,0.4645,0.7936,0.8157,0.9496
