,precision,recall,f1-score,support
Benign/Dormant,1.0,1.0,1.0,10.0
Pre-enc Active,0.9130434782608695,0.875,0.8936170212765957,24.0
Active Encryption,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
Post-Encryption,0.95,0.8636363636363636,0.9047619047619048,22.0
accuracy,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.9113924050632911
macro avg,0.927299331103679,0.9237895256916996,0.9240845274279924,79.0
weighted avg,0.9148681258202447,0.9113924050632911,0.911451033416329,79.0
