model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
RandomForest,0.6216,0.1438,0.4806,0.7625,0.6234,0.5724,0.5346,0.0958,0.4408,0.6285,0.5362,0.6291,4,1.0,0.4132,0.5354,0.6474,0.5425
ExtraTrees,0.6112,0.1659,0.4486,0.7738,0.6139,0.5725,0.5337,0.1199,0.4162,0.6512,0.5358,0.6268,4,1.0,0.369,0.543,0.6553,0.5674
LogisticRegression,0.5102,0.149,0.3641,0.6563,0.5127,0.5023,0.4811,0.1126,0.3707,0.5915,0.4832,0.5409,4,1.0,0.3172,0.5212,0.5741,0.5119
GradientBoosting,0.4951,0.1107,0.3866,0.6036,0.4968,0.4636,0.4563,0.0888,0.3692,0.5433,0.4577,0.5326,4,1.0,0.3407,0.5573,0.466,0.4611
