,precision,recall,f1-score,support
Benign/Dormant,0.6666666666666666,1.0,0.8,2.0
Pre-enc Active,0.0,0.0,0.0,2.0
Active Encryption,0.92,0.46,0.6133333333333333,50.0
Post-Encryption,0.6875,0.8461538461538461,0.7586206896551724,26.0
accuracy,0.5875,0.5875,0.5875,0.5875
macro avg,0.5685416666666667,0.5765384615384616,0.5429885057471264,80.0
weighted avg,0.8151041666666667,0.5875,0.6498850574712642,80.0
