model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9427,0.0632,0.9201,0.9653,0.9361,0.9176,0.8891,0.1495,0.8356,0.9427,0.8807,0.9431,30,0.9444,0.916,0.7374,0.8361,0.9566
LogisticRegression,0.8982,0.0891,0.8663,0.9301,0.8798,0.8514,0.8264,0.1729,0.7645,0.8882,0.798,0.895,30,0.9444,0.6856,0.6809,0.8493,0.8536
RandomForest,0.9171,0.0813,0.888,0.9462,0.9182,0.8818,0.8222,0.1991,0.751,0.8935,0.8387,0.9195,30,0.7807,0.7789,0.8002,0.8313,0.9616
ExtraTrees,0.8977,0.0835,0.8678,0.9276,0.8951,0.856,0.79,0.2039,0.7171,0.863,0.8016,0.8962,30,0.7807,0.6442,0.7432,0.8718,0.9195
