model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.6268,0.3007,0.2865,0.9671,0.6314,0.3809,0.3715,0.1127,0.244,0.499,0.3733,0.6236,3,1.0,0.2621,0.4872,0.3651
ExtraTrees,0.5792,0.3671,0.1638,0.9945,0.5847,0.3486,0.3442,0.1469,0.1779,0.5104,0.3466,0.5807,3,1.0,0.2,0.4937,0.3388
LogisticRegression,0.4917,0.2223,0.2401,0.7432,0.4958,0.3872,0.3309,0.1226,0.1921,0.4697,0.3331,0.5289,3,1.0,0.2,0.4431,0.3496
GradientBoosting,0.4421,0.1484,0.2742,0.61,0.4449,0.2767,0.3014,0.0753,0.2162,0.3866,0.3028,0.4986,3,0.84,0.2165,0.36,0.3277
