model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
ExtraTrees,0.6185,0.191,0.4023,0.8346,0.6206,0.6341,0.5452,0.21,0.3076,0.7828,0.5478,0.6012,3,0.75,0.3414,0.7609,0.5333
RandomForest,0.6582,0.148,0.4908,0.8257,0.6592,0.5783,0.5354,0.0938,0.4292,0.6415,0.5365,0.6444,3,0.75,0.446,0.6331,0.527
LogisticRegression,0.5612,0.1072,0.4399,0.6825,0.5627,0.5834,0.4756,0.1271,0.3318,0.6194,0.4775,0.5484,3,0.75,0.3302,0.5655,0.5311
XGBoost,0.5463,0.0646,0.4732,0.6195,0.5466,0.5006,0.4524,0.04,0.4072,0.4977,0.453,0.5364,3,0.75,0.4064,0.4727,0.4782
GradientBoosting,0.4309,0.0858,0.3338,0.528,0.4309,0.4303,0.3555,0.1248,0.2143,0.4967,0.3557,0.3974,3,0.75,0.3411,0.2385,0.4868
