model,mean_accuracy,Benign,Cerber,Dharma,Jigsaw,WannaCry
SVM,0.6993,0.64,0.5294,0.9818,0.5455,0.8
GradientBoosting,0.6882,0.64,0.7647,0.7455,0.5455,0.7455
RandomForest,0.6848,0.64,0.5294,0.9636,0.5455,0.7455
LogisticRegression,0.6745,0.64,0.5686,0.8364,0.5273,0.8
KNN,0.6669,0.64,0.549,0.8364,0.5455,0.7636
XGBoost,0.6266,0.64,0.5294,0.9818,0.5091,0.4727
ExtraTrees,0.6157,0.64,0.5294,0.9273,0.5455,0.4364
