family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Cerber,3,2,60,60,2,8,Cerber_T060_rep02,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T060_rep02,91,51,11.98,0,3,3,0,0,0,4.29,35,6,101,10,91,91,2,120.0,1123,0,0,9,1,0,0,4625,861,55.72,5117,304.52,1640.0,5.49,7,55,67,147,7,248,20,41,20,0,8.55,84,0,0,16638,5479,15,88,189.07,2500,0.0,0.0,0.0,87,7465,4,15,4,0,4,4,4,0,3,1.33,2,3,38240,496.62,1816,3296,887,851,1489,1959,9637,1222,1718,912,77,192,646,0.0475,0.0862,0.0232,0,5889,14,0,635,214,420,5,991,0.3293,0.0009,0.0009,0.4487,0.0,0.0,0.0024,0,0,0,0.0,0.0,0.0989,0.0119,0.0318,1.0
Cerber,3,3,60,60,3,13,Cerber_T060_rep03,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T060_rep03,91,51,12.03,0,3,3,0,0,0,4.29,35,6,102,11,91,91,2,119.98,1123,0,0,9,1,0,0,4627,862,55.75,5117,304.52,1640.0,5.49,7,57,67,147,7,244,18,39,18,0,7.87,84,1,1,16564,5479,15,88,188.23,2428,0.0,0.0,0.0,87,7399,4,15,4,0,4,4,4,0,3,1.33,2,3,38188,495.95,1808,3293,823,851,1493,1961,9647,1217,1718,913,77,192,646,0.0473,0.0862,0.0216,0,5882,14,0,635,214,420,5,991,0.3308,0.0009,0.0009,0.4467,0.0,0.0041,0.0024,0,0,0,0.0,0.0,0.0989,0.0123,0.0318,1.0
Cerber,3,3,60,60,4,18,Cerber_T060_rep04,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T060_rep04,91,51,12.06,0,3,3,0,0,0,4.29,35,6,102,11,91,91,2,120.04,1123,0,0,9,1,0,0,4638,871,55.88,5117,304.52,1640.0,5.49,7,57,67,147,7,248,18,40,18,0,8.55,84,1,1,16626,5479,15,88,188.93,2481,0.0,0.0,0.0,87,7454,4,15,4,0,4,4,4,0,3,1.33,2,3,38275,497.08,1813,3300,871,851,1499,1963,9660,1221,1718,913,77,192,645,0.0474,0.0862,0.0228,0,5910,14,0,635,214,420,5,991,0.3295,0.0009,0.0009,0.4483,0.0,0.004,0.0024,0,0,0,0.0,0.0,0.0989,0.0123,0.0317,1.0
Cerber,3,3,60,60,5,23,Cerber_T060_rep05,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T060_rep05,90,50,12.06,0,3,3,0,0,0,4.24,35,6,102,12,90,90,2,119.9,1123,0,0,9,1,0,0,4596,858,56.05,5080,306.04,1640.0,5.49,7,57,66,144,7,245,18,40,18,0,7.9,84,1,1,16565,5442,15,87,190.4,2521,0.0,0.0,0.0,86,7463,4,15,4,0,4,4,4,0,3,1.33,2,3,37954,499.39,1798,3283,836,846,1477,1955,9592,1207,1711,908,76,190,619,0.0474,0.0865,0.022,0,5869,14,0,635,214,420,5,986,0.3285,0.0009,0.0009,0.4505,0.0,0.0041,0.0024,0,0,0,0.0,0.0,0.1,0.0124,0.0313,1.0
Cerber,3,3,120,120,2,9,Cerber_T120_rep02,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T120_rep02,92,51,11.89,0,3,3,0,0,0,4.33,35,6,99,7,92,92,2,118.97,1123,0,0,10,1,0,0,4813,867,57.3,5249,309.4,1592.0,5.64,8,79,70,155,7,248,11,24,11,0,10.78,86,1,22,16279,5580,15,89,182.91,2373,0.0,0.0,0.0,88,7324,4,15,4,0,4,4,4,0,3,1.33,2,3,38571,488.24,1777,3323,649,859,1421,2002,9868,1229,1765,925,79,198,670,0.0461,0.0862,0.0168,0,5945,14,0,635,211,423,5,996,0.3428,0.0009,0.0009,0.4499,0.0,0.0887,0.0024,0,0,0,0.0,0.0,0.1087,0.0164,0.0322,1.0
Cerber,3,3,120,120,3,14,Cerber_T120_rep03,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T120_rep03,92,51,11.85,0,3,3,0,0,0,4.33,35,6,99,7,92,92,2,118.96,1123,0,0,10,1,0,0,4811,861,57.27,5249,309.4,1592.0,5.64,8,79,70,157,7,254,10,27,10,0,10.58,86,1,22,16278,5580,15,89,182.9,2375,0.0,0.0,0.0,88,7323,4,15,4,0,4,4,4,0,3,1.33,2,3,38581,488.37,1776,3323,649,859,1424,2002,9872,1225,1765,925,79,198,671,0.046,0.0861,0.0168,0,5942,14,0,635,211,423,5,996,0.3428,0.0009,0.0009,0.4499,0.0,0.0866,0.0024,0,0,0,0.0,0.0,0.1087,0.0164,0.0326,1.0
Cerber,3,3,120,120,4,19,Cerber_T120_rep04,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T120_rep04,92,51,11.84,0,3,3,0,0,0,4.33,35,6,99,7,92,92,2,119.01,1123,0,0,10,1,0,0,4813,861,57.3,5249,309.4,1592.0,5.64,8,79,70,157,7,256,10,27,10,0,10.67,86,1,22,16274,5580,15,89,182.85,2371,0.0,0.0,0.0,88,7318,4,15,4,0,4,4,4,0,3,1.33,2,3,38550,487.97,1777,3323,649,859,1412,2006,9856,1225,1765,925,79,198,669,0.0461,0.0862,0.0168,0,5944,14,0,635,211,423,5,996,0.3429,0.0009,0.0009,0.4497,0.0,0.0859,0.0024,0,0,0,0.0,0.0,0.1087,0.0164,0.0326,1.0
Cerber,3,3,120,120,5,24,Cerber_T120_rep05,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T120_rep05,93,52,11.77,0,3,3,0,0,0,4.38,35,6,100,7,93,93,2,119.06,1123,0,0,10,1,0,0,4848,863,57.04,5286,307.88,1592.0,5.65,8,78,71,161,7,251,10,25,10,0,11.41,86,1,22,16351,5617,15,90,181.68,2363,0.0,0.0,0.0,89,7332,4,15,4,0,4,4,4,0,3,1.33,2,3,38779,484.74,1788,3341,652,864,1435,2010,9925,1230,1771,930,80,200,647,0.0461,0.0862,0.0168,0,5947,14,0,635,211,423,5,1001,0.3435,0.0009,0.0009,0.4484,0.0,0.0876,0.0024,0,0,0,0.0,0.0,0.1075,0.0161,0.0332,1.0
Cerber,4,3,180,180,1,5,Cerber_T180_rep01,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T180_rep01,88,48,11.71,0,3,3,0,0,0,4.35,35,6,98,10,88,88,2,121.62,1123,0,0,9,1,0,0,4571,855,57.14,5038,310.27,1598.0,5.62,7,55,67,147,7,38,2,11,2,0,2.53,18,0,0,15820,5324,14,85,186.12,2460,0.0,0.0,0.0,84,7236,3,14,3,0,3,3,3,0,2,1.5,2,2,37150,495.33,1744,3183,631,830,1365,1912,9544,1191,1715,895,75,190,636,0.0469,0.0857,0.017,0,5912,14,0,635,210,424,5,978,0.3365,0.0009,0.0009,0.4574,0.0,0.0,0.0024,0,0,0,0.0,0.0,0.1023,0.012,0.0322,1.0
Cerber,4,3,180,180,2,10,Cerber_T180_rep02,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T180_rep02,89,49,11.67,0,3,3,0,0,0,4.4,35,6,100,11,89,89,2,121.65,1123,0,0,9,1,0,0,4612,857,56.94,5075,308.67,1598.0,5.63,7,57,68,151,7,38,2,12,2,0,2.71,17,0,0,15880,5361,14,86,184.65,2429,0.0,0.0,0.0,85,7232,3,14,3,0,3,3,3,0,2,1.5,2,2,37314,490.97,1757,3202,634,835,1377,1914,9505,1208,1721,900,76,192,657,0.0471,0.0858,0.017,0,5929,14,0,635,210,424,5,983,0.3376,0.0009,0.0009,0.4554,0.0,0.0,0.0024,0,0,0,0.0,0.0,0.1011,0.0124,0.0327,1.0
Cerber,4,3,180,180,3,15,Cerber_T180_rep03,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T180_rep03,89,49,11.64,0,3,3,0,0,0,4.4,35,6,99,10,89,89,2,121.69,1123,0,0,9,1,0,0,4605,857,56.85,5075,308.67,1598.0,5.63,7,57,68,149,7,38,2,11,2,0,2.71,18,0,0,15781,5361,14,86,183.5,2334,0.0,0.0,0.0,85,7134,3,14,3,0,3,3,3,0,2,1.5,2,2,37406,492.18,1757,3204,634,835,1371,1913,9600,1212,1721,901,76,192,663,0.047,0.0857,0.0169,0,5930,14,0,635,210,424,5,983,0.3397,0.0009,0.0009,0.4521,0.0,0.0,0.0024,0,0,0,0.0,0.0,0.1011,0.0124,0.0324,1.0
Cerber,4,3,180,180,4,20,Cerber_T180_rep04,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T180_rep04,88,48,11.76,0,3,3,0,0,0,4.35,35,6,99,11,88,88,2,121.64,1123,0,0,9,1,0,0,4571,855,57.14,5038,310.27,1598.0,5.62,7,57,67,147,7,35,3,10,3,0,2.69,18,0,0,15808,5324,14,85,185.98,2444,0.0,0.0,0.0,84,7225,3,14,3,0,3,3,3,0,2,1.5,2,2,37194,495.92,1743,3183,631,830,1369,1908,9549,1201,1715,895,75,190,659,0.0469,0.0856,0.017,0,5917,14,0,635,210,424,5,978,0.3368,0.0009,0.0009,0.457,0.0,0.0,0.0024,0,0,0,0.0,0.0,0.1023,0.0125,0.0322,1.0
Cerber,4,3,180,180,5,25,Cerber_T180_rep05,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T180_rep05,90,49,11.74,0,3,3,0,0,0,4.45,35,6,101,11,90,90,2,120.8,1123,0,0,9,1,0,0,4676,869,57.02,5139,309.09,1598.0,5.63,7,57,69,154,7,91,5,14,5,0,5.35,25,0,0,16011,5425,14,87,184.03,2431,0.0,0.0,0.0,86,7269,3,14,3,0,3,3,3,0,2,1.5,2,2,37733,483.76,1770,3217,640,841,1399,1931,9691,1220,1725,910,77,200,643,0.0469,0.0853,0.017,0,5963,14,0,635,211,423,5,1011,0.3388,0.0009,0.0009,0.454,0.0,0.0,0.0023,0,0,0,0.0,0.0,0.1,0.0122,0.0329,1.0
