family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_wannacry_procs,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_unusual_dir_count,cmdline_script_tool_count,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,handle_wncryt_count,handle_eky_count,handle_fun_count,filescan_total,filescan_encrypted,filescan_ransom_notes,filescan_wncryt,filescan_fun,filescan_jigsaw_notes,priv_total_enabled,netstat_total,netstat_established,netstat_listening,netstat_unique_ips,netstat_outbound_count,netstat_smb_connections,netstat_established_ratio,netstat_outbound_ratio,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Cerber,2,2,45,45,5,24,Cerber_T045_rep05_060359,/mnt/d/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623/T045_rep05,96,54,12.81,3,3,0,0,4.52,38,6,105,9,96,96,3,116.62,1123,9,1,4683,892,53.22,5067,283.09,1640.0,5.39,7,73,65,151,7,410,40,66,40,0,9.11,84,1,1,17355,5812,15,93,186.61,2524,0.0,0.0,0.0,92,7714,4,15,4,0,4,4,4,0,3,1.33,2,3,39630,514.68,1805,3397,852,888,1639,2053,10429,1238,1756,912,77,194,657,0.0455,0.0857,0.0215,0,0,0,0,6099,14,0,0,0,0,1132,40,0,28,1,10,0,0.0,0.25,0.3349,0.0009,0.0009,0.4445,0.0024,0.0023,0.0938,0.0156,0.0322,1.0
Cerber,3,3,90,90,1,5,Cerber_T090_rep01_050921,/mnt/d/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623/T090_rep01,96,55,12.55,3,3,0,0,4.52,37,6,104,8,96,96,3,117.48,1123,9,1,4421,844,50.24,4916,273.11,1640.0,5.32,5,71,63,145,7,49,11,32,11,0,1.75,5,1,1,17109,5730,15,93,183.97,2408,0.0,0.0,0.0,92,7576,4,15,3,0,3,3,3,0,3,1.0,1,3,37907,492.3,1752,3111,650,885,1598,1998,10086,1150,1722,894,76,189,557,0.0462,0.0821,0.0171,0,0,0,0,5970,14,0,0,0,0,1131,40,0,28,1,10,0,0.0,0.25,0.3349,0.0009,0.0009,0.4428,0.0204,0.0023,0.0938,0.0161,0.0328,1.0
Cerber,3,3,90,90,2,10,Cerber_T090_rep02_052413,/mnt/d/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623/T090_rep02,96,55,12.68,3,3,0,0,4.52,37,6,105,9,96,96,3,117.45,1123,9,1,4425,841,50.28,4910,272.7,1640.0,5.32,6,72,63,147,7,31,9,20,9,0,1.72,4,1,1,17242,5730,15,93,185.4,2529,0.0,0.0,0.0,92,7709,4,15,3,0,3,3,3,0,3,1.0,1,3,38012,493.66,1752,3131,650,885,1619,1994,10105,1165,1722,894,76,189,587,0.0461,0.0824,0.0171,0,0,0,0,6037,14,0,0,0,0,1131,40,0,28,1,10,0,0.0,0.25,0.3323,0.0009,0.0009,0.4471,0.0323,0.0023,0.0938,0.0163,0.0332,1.0
Cerber,3,3,90,90,3,15,Cerber_T090_rep03_053848,/mnt/d/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623/T090_rep03,95,54,12.64,3,3,0,0,4.48,37,6,107,12,95,95,3,117.36,1123,9,1,4415,842,50.75,4869,273.49,1640.0,5.31,6,72,62,141,7,34,9,20,9,0,1.7,4,1,1,17153,5683,15,92,186.45,2558,0.0,0.0,0.0,91,7702,4,15,3,0,3,3,3,0,3,1.0,1,3,38210,502.76,1758,3175,651,880,1608,1988,10134,1199,1721,900,75,187,634,0.046,0.0831,0.017,0,0,0,0,6011,14,0,0,0,0,1126,40,0,28,1,10,0,0.0,0.25,0.3313,0.0009,0.0009,0.449,0.0294,0.0023,0.0947,0.0163,0.0319,1.0
Cerber,3,3,90,90,4,20,Cerber_T090_rep04_055320,/mnt/d/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623/T090_rep04,95,54,12.64,3,3,0,0,4.48,37,6,104,9,95,95,3,117.37,1123,9,1,4519,869,51.94,4928,277.24,1640.0,5.31,7,73,64,147,7,34,8,19,8,0,1.48,4,1,1,17065,5683,15,92,185.49,2468,0.0,0.0,0.0,91,7613,4,15,4,0,4,4,4,0,3,1.33,2,3,38480,506.32,1760,3216,655,880,1612,2001,10177,1202,1736,905,76,191,639,0.0457,0.0836,0.017,0,0,0,0,6034,14,0,0,0,0,1126,40,0,28,1,10,0,0.0,0.25,0.333,0.0009,0.0009,0.4461,0.0294,0.0023,0.0947,0.0162,0.0325,1.0
Cerber,3,3,90,90,5,25,Cerber_T090_rep05_060748,/mnt/d/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623/T090_rep05,96,55,12.7,3,3,0,0,4.52,37,6,107,11,96,96,3,117.44,1123,9,1,4498,852,51.11,4972,276.61,1640.0,5.39,6,72,64,146,7,32,8,18,8,0,1.78,4,1,1,17209,5730,15,93,185.04,2493,0.0,0.0,0.0,92,7676,4,15,3,0,3,3,3,0,3,1.0,1,3,38037,493.99,1752,3137,650,885,1614,1983,10105,1161,1721,893,76,189,625,0.0461,0.0825,0.0171,0,0,0,0,6020,14,0,0,0,0,1131,40,0,28,1,10,0,0.0,0.25,0.333,0.0009,0.0009,0.446,0.0312,0.0023,0.0938,0.016,0.0325,1.0
Dharma,1,2,5,5,1,1,Dharma_T005_rep01_142150,/mnt/d/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116/T005_rep01,106,59,13.11,3,7,1,0,4.77,41,5,114,8,106,106,1,69.04,1037,5,0,4925,913,62.34,5350,342.08,1634.0,5.85,7,73,70,159,7,1051,56,91,56,0,26.27,107,2,3,17536,6025,20,99,177.13,2205,0.0,0.0,0.0,98,7581,4,15,9,0,4,9,9,0,5,1.8,4,3,41063,494.73,1853,3508,853,923,1736,2226,10665,1228,1819,941,82,210,780,0.0451,0.0854,0.0208,0,0,0,0,6361,58,0,0,0,0,1273,40,0,28,1,10,0,0.0,0.25,0.3436,0.0011,0.0009,0.4323,0.0029,0.0091,0.0472,0.0148,0.0323,0.4444
Dharma,1,2,5,5,2,6,Dharma_T005_rep02_143606,/mnt/d/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116/T005_rep02,106,59,13.08,3,7,1,0,4.77,41,5,113,7,106,106,1,69.04,1037,5,0,4905,911,62.09,5339,341.24,1634.0,5.85,7,73,70,159,7,1051,55,90,55,0,26.27,108,2,3,17557,6024,19,99,177.34,2232,0.0,0.0,0.0,98,7604,4,15,7,0,4,7,7,0,5,1.4,2,3,40984,493.78,1851,3513,836,923,1724,2225,10660,1225,1819,941,82,210,772,0.0452,0.0857,0.0204,0,0,0,0,6343,59,0,0,0,0,1273,40,0,28,1,10,0,0.0,0.25,0.3431,0.0011,0.0009,0.4331,0.0029,0.0093,0.0472,0.0149,0.0324,0.5714
Dharma,1,2,5,5,3,11,Dharma_T005_rep03_145048,/mnt/d/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116/T005_rep03,107,59,13.11,4,7,1,0,4.61,42,5,112,5,107,107,2,91.85,2676,5,0,4785,893,60.57,5223,328.28,1634.0,5.85,7,73,70,157,7,1145,68,104,68,0,27.26,108,2,3,17725,6099,19,100,177.25,2230,0.0,0.0,0.0,99,7657,4,15,7,0,4,7,7,0,5,1.4,2,3,41518,494.26,1868,3548,858,932,1749,2262,10795,1239,1831,950,83,214,782,0.045,0.0855,0.0207,0,0,0,0,6338,59,0,0,0,0,1301,40,0,28,1,10,0,0.0,0.25,0.3441,0.0011,0.0008,0.432,0.0026,0.0093,0.0467,0.0153,0.0328,0.5714
Dharma,1,2,5,5,4,16,Dharma_T005_rep04_150542,/mnt/d/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116/T005_rep04,108,59,13.16,5,7,1,0,4.65,42,5,111,3,108,108,2,93.26,2676,5,0,5024,913,62.02,5462,333.04,1634.0,5.85,7,73,72,163,7,1189,69,106,69,0,27.65,108,2,3,17756,6145,19,101,175.8,2144,0.0,0.0,0.0,100,7614,4,15,7,0,4,7,7,0,5,1.4,2,3,41846,492.31,1877,3590,862,941,1770,2278,10870,1242,1841,959,84,218,788,0.0449,0.0858,0.0206,0,0,0,0,6782,59,0,0,0,0,1329,40,0,28,1,10,0,0.0,0.25,0.3461,0.0011,0.0008,0.4288,0.0025,0.0087,0.0463,0.0145,0.0324,0.5714
