family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Dharma,3,2,60,60,1,3,Dharma_T060_rep01,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T060_rep01,103,55,12.32,0,2,9,1,0,0,4.25,38,5,103,0,103,103,2,50.62,985,0,0,6,2,0,0,2368,594,46.43,2823,269.02,1634.0,4.82,4,5,36,75,7,484,47,69,47,0,15.12,69,1,1,17098,5729,15,94,181.89,2334,0.0,0.0,0.0,93,7523,4,15,8,0,8,8,8,0,3,2.67,5,3,34594,516.33,1604,3010,783,880,1443,1896,8764,1120,1533,771,69,177,646,0.0464,0.087,0.0226,0,6824,1605,0,1230,0.3351,0.0009,0.0009,0.44,0.0,0.0021,0.2352,0,0,0,0.0,0.0,0.0583,0.0021,0.0317,1.0
Dharma,3,2,60,60,2,8,Dharma_T060_rep02,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T060_rep02,103,55,12.28,0,2,9,1,0,0,4.25,38,5,103,0,103,103,2,51.67,985,0,0,6,2,0,0,2651,630,51.98,3128,299.96,1634.0,5.41,4,5,41,85,7,484,38,62,38,0,16.13,69,1,1,17096,5735,15,94,181.87,2329,0.0,0.0,0.0,93,7515,4,15,9,0,9,9,9,0,3,3.0,6,3,34453,514.22,1577,2999,774,884,1407,1900,8669,1102,1544,783,69,178,768,0.0458,0.087,0.0225,0,6868,1598,0,1230,0.3355,0.0009,0.0009,0.4396,0.0,0.0021,0.2327,0,0,0,0.0,0.0,0.0583,0.0019,0.0321,1.0
Dharma,3,2,60,60,3,13,Dharma_T060_rep03,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T060_rep03,103,55,12.27,0,2,9,1,0,0,4.25,38,5,103,0,103,103,2,53.45,985,0,0,7,2,0,0,2901,662,54.74,3507,325.87,1634.0,5.43,4,26,44,95,7,488,44,66,44,0,15.74,69,1,1,16971,5729,15,94,180.54,2201,0.0,0.0,0.0,93,7392,4,15,9,0,9,9,9,0,3,3.0,6,3,34605,516.49,1609,2947,806,885,1438,1907,8722,1125,1537,786,68,178,751,0.0465,0.0852,0.0233,0,6873,1648,0,1230,0.3376,0.0009,0.0009,0.4356,0.0,0.002,0.2398,0,0,0,0.0,0.0,0.068,0.009,0.0327,1.0
Dharma,3,2,60,60,4,18,Dharma_T060_rep04,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T060_rep04,103,55,12.33,0,2,9,1,0,0,4.25,38,5,104,1,103,103,3,52.56,985,0,0,7,2,0,0,2411,598,43.84,2835,249.11,1634.0,4.69,5,6,38,74,7,501,43,73,43,0,13.18,69,1,1,17075,5731,15,94,181.65,2303,0.0,0.0,0.0,93,7493,4,15,10,0,10,10,10,0,3,3.33,7,3,33868,521.05,1573,2878,792,880,1409,1888,8616,1095,1516,766,67,170,615,0.0464,0.085,0.0234,0,6671,1528,0,1230,0.3356,0.0009,0.0009,0.4388,0.0,0.002,0.2291,0,0,0,0.0,0.0,0.068,0.0025,0.0307,1.0
Dharma,3,2,60,60,5,23,Dharma_T060_rep05,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T060_rep05,103,55,12.37,0,2,9,1,0,0,4.25,38,5,103,0,103,103,2,50.74,985,0,0,7,2,0,0,2645,605,51.86,3202,309.22,1634.0,5.29,4,5,42,83,7,488,34,57,34,0,15.74,69,1,1,17173,5731,15,94,182.69,2396,0.0,0.0,0.0,93,7595,4,15,10,0,10,10,10,0,3,3.33,7,3,34097,524.57,1587,2870,784,880,1431,1888,8666,1118,1523,767,67,174,670,0.0465,0.0842,0.023,0,6688,1505,0,1230,0.3337,0.0009,0.0009,0.4423,0.0,0.002,0.225,0,0,0,0.0,0.0,0.068,0.0019,0.0314,1.0
Dharma,3,3,120,120,1,4,Dharma_T120_rep01,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T120_rep01,104,55,11.6,0,2,9,1,0,0,4.29,38,5,107,3,104,104,3,106.21,1123,0,0,12,2,0,0,3712,727,43.16,4457,254.14,1610.0,5.02,5,25,60,121,7,153,14,30,14,0,5.67,79,0,0,16783,5767,15,95,176.66,2377,0.0,0.0,0.0,94,7491,4,15,2,0,2,2,2,0,1,2.0,2,1,35053,449.4,1635,2688,616,890,1392,1934,8982,1006,1603,868,78,194,515,0.0466,0.0767,0.0176,0,6164,1227,0,1235,0.3436,0.0009,0.0009,0.4463,0.0,0.0,0.1991,0,0,0,0.0,0.0,0.1154,0.0067,0.0326,1.0
Dharma,3,3,120,120,2,9,Dharma_T120_rep02,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T120_rep02,103,54,11.79,0,2,9,1,0,0,4.25,38,5,106,3,103,103,3,106.0,1123,0,0,12,2,0,0,3688,714,42.88,4468,253.36,1610.0,5.02,5,22,63,119,7,147,14,28,14,0,6.12,79,0,0,16731,5730,15,94,177.99,2392,0.0,0.0,0.0,93,7498,4,15,1,0,1,1,1,0,1,1.0,1,1,36009,467.65,1654,2920,646,884,1418,1958,9185,1117,1651,877,75,193,503,0.0459,0.0811,0.0179,0,6252,1174,0,1230,0.3425,0.0009,0.0009,0.4482,0.0,0.0,0.1878,0,0,0,0.0,0.0,0.1165,0.006,0.0323,1.0
Dharma,3,3,120,120,3,14,Dharma_T120_rep03,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T120_rep03,104,55,11.58,0,2,9,1,0,0,4.29,38,5,106,2,104,104,3,106.21,1123,0,0,12,2,0,0,3582,703,41.65,4303,244.37,1610.0,4.95,5,20,58,117,7,155,16,31,16,0,5.54,79,0,0,16772,5767,15,95,176.55,2364,0.0,0.0,0.0,94,7484,4,15,,,,,,,,,,,35161,450.78,1659,2738,622,886,1381,1932,9005,997,1626,872,78,182,504,0.0472,0.0779,0.0177,0,5909,1010,0,1235,0.3438,0.0009,0.0009,0.4462,0.0,0.0,0.1709,0,0,0,0.0,0.0,0.1154,0.0056,0.0327,0
Dharma,3,3,120,120,4,19,Dharma_T120_rep04,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T120_rep04,103,54,11.76,0,2,9,1,0,0,4.25,38,5,105,2,103,103,3,106.0,1123,0,0,12,2,0,0,3434,695,40.4,4181,237.89,1610.0,4.87,5,21,57,110,7,135,15,27,15,0,5.19,79,0,0,16710,5731,15,94,177.77,2379,0.0,0.0,0.0,93,7479,4,15,,,,,,,,,,,36265,464.94,1678,2940,667,881,1421,1977,9235,1109,1671,891,78,193,449,0.0463,0.0811,0.0184,0,6134,1092,0,1230,0.343,0.0009,0.0009,0.4476,0.0,0.0,0.178,0,0,0,0.0,0.0,0.1165,0.0061,0.032,0
Dharma,3,3,120,120,5,24,Dharma_T120_rep05,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T120_rep05,103,54,11.83,0,2,9,1,0,0,4.25,38,5,105,2,103,103,2,59.66,985,0,0,8,2,0,0,3378,693,48.26,4088,-62.49,1610.0,5.4,5,27,57,113,7,127,11,19,11,0,6.05,79,0,0,16779,5734,15,94,178.5,2439,0.0,0.0,0.0,93,7547,4,15,,,,,,,,,,,36357,466.12,1679,2915,651,882,1438,1975,9247,1123,1677,891,78,195,521,0.0462,0.0802,0.0179,0,6250,1172,0,1230,0.3417,0.0009,0.0009,0.4498,0.0,0.0,0.1875,0,0,0,0.0,0.0,0.0777,0.008,0.0335,0
Dharma,4,3,180,180,1,5,Dharma_T180_rep01,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T180_rep01,99,53,11.53,0,2,9,1,0,0,4.26,37,5,105,6,99,99,3,105.45,1123,0,0,11,2,0,0,3524,709,42.98,4272,254.02,1610.0,5.12,5,28,59,114,7,108,5,17,5,0,6.35,40,0,0,16412,5524,14,90,182.36,2560,0.0,0.0,0.0,89,7498,3,14,,,,,,,,,,,33533,453.15,1603,2578,586,852,1278,1841,8496,980,1574,835,75,180,484,0.0478,0.0769,0.0175,0,5748,824,0,1216,0.3366,0.0009,0.0009,0.4569,0.0,0.0,0.1434,0,0,0,0.0,0.0,0.1111,0.0079,0.0323,0
Dharma,4,3,180,180,2,10,Dharma_T180_rep02,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T180_rep02,99,53,11.49,0,2,9,1,0,0,4.26,37,5,102,3,99,99,2,57.21,985,0,0,7,2,0,0,3392,673,49.88,4115,298.54,1610.0,5.74,5,6,60,114,7,90,7,19,7,0,5.29,47,0,0,16293,5531,14,90,181.03,2439,0.0,0.0,0.0,89,7373,3,14,,,,,,,,,,,33552,447.36,1601,2504,590,853,1278,1861,8545,920,1602,840,74,176,424,0.0477,0.0746,0.0176,0,5495,706,0,1216,0.3395,0.0009,0.0009,0.4525,0.0,0.0,0.1285,0,0,0,0.0,0.0,0.0707,0.0018,0.0336,0
Dharma,4,3,180,180,3,15,Dharma_T180_rep03,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T180_rep03,99,52,11.63,0,2,9,1,0,0,4.26,37,5,102,3,99,99,3,104.68,1123,0,0,11,2,0,0,3578,725,43.63,4325,257.9,1610.0,5.12,5,42,60,114,7,159,9,27,9,0,7.23,47,1,1,16441,5543,14,90,182.68,2560,0.0,0.0,0.0,89,7503,3,14,,,,,,,,,,,33803,456.8,1622,2610,591,853,1300,1866,8563,933,1617,841,75,174,468,0.048,0.0772,0.0175,0,5486,633,0,1216,0.3371,0.0009,0.0009,0.4564,0.0,0.0063,0.1154,0,0,0,0.0,0.0,0.1111,0.0117,0.0319,0
Dharma,4,3,180,180,4,20,Dharma_T180_rep04,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T180_rep04,99,53,11.61,0,2,9,1,0,0,4.26,37,5,101,2,99,99,2,50.55,840,0,0,5,2,0,0,3454,710,51.55,4160,307.15,1616.0,5.55,5,35,58,111,7,86,4,17,4,0,5.06,40,0,0,16388,5524,14,90,182.09,2544,0.0,0.0,0.0,89,7482,3,14,,,,,,,,,,,34300,457.33,1634,2724,596,857,1320,1874,8632,956,1609,854,76,181,459,0.0476,0.0794,0.0174,0,5646,838,0,1213,0.3371,0.0009,0.0009,0.4566,0.0,0.0,0.1484,0,0,0,0.0,0.0,0.0505,0.0101,0.0321,0
Dharma,4,3,180,180,5,25,Dharma_T180_rep05,D:/Patrick/VMSnapshots/Datasets/Dharma_20260330_034041\T180_rep05,99,53,11.53,0,2,9,1,0,0,4.26,37,5,105,6,99,99,3,95.47,1123,0,0,10,2,0,0,3678,736,44.85,4430,264.22,1616.0,5.05,5,35,60,118,7,108,5,17,5,0,5.68,40,1,1,16361,5526,14,90,181.79,2508,0.0,0.0,0.0,89,7446,3,14,2,0,2,2,2,0,1,2.0,2,1,33855,451.4,1609,2562,594,833,1297,1858,8570,962,1601,845,75,186,559,0.0475,0.0757,0.0175,0,5625,785,0,1216,0.3378,0.0009,0.0009,0.4551,0.0,0.0093,0.1396,0,0,0,0.0,0.0,0.101,0.0095,0.0321,1.0
