family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_wannacry_procs,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_unusual_dir_count,cmdline_script_tool_count,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,handle_wncryt_count,handle_eky_count,handle_fun_count,filescan_total,filescan_encrypted,filescan_ransom_notes,filescan_wncryt,filescan_fun,filescan_jigsaw_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,netstat_total,netstat_established,netstat_listening,netstat_unique_ips,netstat_outbound_count,netstat_established_ratio,netstat_outbound_ratio,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio,signal_injection_score,signal_process_score,signal_benign_sep_score,signal_encryption_score,tier1_composite
WannaCry,4,2,240,240,1,6,WannaCry_T240_rep01,/home/pthrower/Datasets/WannaCry_20260326_193131/T240_rep01,121,63,11.65,7,1,0,3,3.75,38,5,121,0,121,121,3,46.55,567,1,0,3119,669,38.04,3434,198.29,1490.0,4.98,2,3,60,115,7,542,67,111,67,0,8.74,50,0,0,18429,6567,36,120,153.57,2113,0.0,0.0,0.0,119,7901,9,36,15,0,15,15,15,0,7,2.14,3,7,39548,399.47,1952,2367,732,1023,1729,2017,10108,1107,1632,959,96,263,667,0.0494,0.0599,0.0185,0,14,1,0,9204,18,0,18,0,0,635,225,409,5,1848,46,4,30,2,14,0.087,0.3043,0.3563,0.002,0.002,0.4287,0.0,0.002,0.0083,0.001,0.0369,1.0,1.4098,1.0299,1.0993,0.12,1.4599
WannaCry,4,2,240,240,2,12,WannaCry_T240_rep02,/home/pthrower/Datasets/WannaCry_20260326_193131/T240_rep02,121,63,11.53,7,1,0,3,3.75,38,5,121,0,121,121,3,46.64,567,1,0,3215,654,39.69,3673,216.02,1295.0,5.26,1,1,61,121,7,575,100,142,100,0,9.58,47,0,0,18547,6556,36,120,154.56,2269,0.0,0.0,0.0,119,8010,9,36,14,0,14,14,14,0,6,2.33,4,6,38986,389.86,2001,2479,727,1034,1671,2028,10046,1035,1638,982,99,254,515,0.0513,0.0636,0.0186,0,15,1,0,4905,19,0,19,0,0,635,225,409,5,1848,46,4,30,2,14,0.087,0.3043,0.3535,0.0019,0.0019,0.4319,0.0,0.0039,0.0083,0.0003,0.0376,1.0,1.425,1.0102,1.1107,0.1267,1.5005
WannaCry,4,2,240,240,3,18,WannaCry_T240_rep03,/home/pthrower/Datasets/WannaCry_20260326_193131/T240_rep03,122,64,11.45,7,1,0,3,3.78,38,5,122,0,122,122,3,34.14,567,1,0,2088,497,34.8,2311,182.8,1265.0,5.0,2,2,42,76,7,533,164,198,164,0,8.74,46,0,0,18766,6570,36,121,155.09,2454,0.0,0.0,0.0,120,8210,9,36,7,0,7,7,7,0,3,2.33,3,3,36866,396.41,1868,2312,672,1034,1609,1886,9380,1030,1515,893,90,252,726,0.0507,0.0627,0.0182,0,14,1,0,8171,20,0,20,0,0,626,220,405,5,1853,46,4,30,2,14,0.087,0.3043,0.3501,0.0019,0.0019,0.4375,0.0,0.0024,0.0082,0.001,0.0364,1.0,1.2699,0.9579,1.0753,0.1333,1.4542
WannaCry,4,2,240,240,4,24,WannaCry_T240_rep04,/home/pthrower/Datasets/WannaCry_20260326_193131/T240_rep04,121,62,11.54,7,1,0,3,4.0,38,3,123,2,121,121,2,38.43,567,1,0,2155,560,35.33,2422,187.56,1490.0,4.43,1,2,42,74,7,546,117,155,117,0,8.95,67,0,0,18612,6518,36,120,155.1,2417,0.0,0.0,0.0,119,8161,9,36,8,0,8,8,8,0,4,2.0,4,4,35045,385.11,1831,1919,633,1024,1554,1892,9174,958,1493,901,91,231,389,0.0522,0.0548,0.0181,0,11,1,0,4186,15,0,15,0,0,635,223,411,5,1825,46,4,30,2,14,0.087,0.3043,0.3502,0.0019,0.0019,0.4385,0.0,0.0036,0.0083,0.0009,0.0343,1.0,1.1674,0.9307,1.063,0.1,1.462
WannaCry,4,2,240,240,5,30,WannaCry_T240_rep05,/home/pthrower/Datasets/WannaCry_20260326_193131/T240_rep05,122,64,11.65,7,1,0,3,3.78,38,5,122,0,122,122,3,35.44,567,1,0,2241,576,37.98,2519,213.39,1490.0,4.37,2,2,42,81,7,543,240,270,240,0,8.9,48,0,0,18811,6606,36,121,155.46,2395,0.0,0.0,0.0,120,8210,9,36,7,0,7,7,7,0,4,1.75,3,4,36452,405.02,1833,2098,669,1032,1615,1886,9308,1045,1526,861,88,242,703,0.0503,0.0576,0.0184,0,7,1,0,9339,12,0,12,0,0,635,225,409,5,1853,46,4,30,2,14,0.087,0.3043,0.3512,0.0019,0.0019,0.4364,0.0,0.0013,0.0082,0.0009,0.0361,1.0,1.3049,0.9513,1.0766,0.08,1.463
WannaCry,1,2,15,15,1,1,WannaCry_T015_rep01,/home/pthrower/Datasets/WannaCry_20260330_065934/T015_rep01,94,51,12.71,2,3,0,1,4.43,36,5,103,9,94,94,0,34.18,320,2,0,2630,645,58.44,3062,347.0,1640.0,5.47,5,37,37,84,7,610,58,85,58,0,19.68,60,1,2,16688,5612,17,91,183.38,2259,0.0,0.0,0.0,90,7340,4,15,1,0,1,1,1,0,1,1.0,1,1,32284,547.19,1487,2748,763,815,1317,1827,8300,943,1557,741,58,155,360,0.0461,0.0851,0.0236,0,1,1,0,7095,871,20,869,0,0,,,,,1009,40,0,28,1,10,0.0,0.25,0.3363,0.001,0.0009,0.4398,0.0033,0.1228,0.0213,0.0141,0.0319,1.0,0.4695,0.8249,0.8162,1.0,0.6768
WannaCry,1,2,15,15,2,6,WannaCry_T015_rep02,/home/pthrower/Datasets/WannaCry_20260330_065934/T015_rep02,94,51,12.69,2,3,0,1,4.43,36,5,104,10,94,94,0,49.96,1037,3,0,2873,673,56.33,3320,329.94,1640.0,5.29,5,32,41,92,7,611,57,83,57,0,19.71,60,1,2,16669,5612,17,91,183.18,2241,0.0,0.0,0.0,90,7320,4,15,2,0,1,2,2,0,2,1.0,1,1,33237,536.08,1523,2813,806,817,1345,1854,8577,980,1598,759,60,159,387,0.0458,0.0846,0.0243,0,1,1,0,7194,871,20,869,0,0,,,,,1009,40,0,28,1,10,0.0,0.25,0.3367,0.001,0.0009,0.4391,0.0033,0.1211,0.0319,0.0111,0.032,0.5,0.3459,0.8494,0.8339,1.0,0.8693
WannaCry,1,2,15,15,3,11,WannaCry_T015_rep03,/home/pthrower/Datasets/WannaCry_20260330_065934/T015_rep03,94,51,12.68,2,3,0,1,4.43,36,5,102,8,94,94,0,33.64,320,2,0,2608,654,59.27,3026,351.25,1640.0,5.32,5,37,36,81,7,608,73,99,73,0,19.61,60,1,2,16695,5612,17,91,183.46,2271,0.0,0.0,0.0,90,7349,4,15,3,0,1,3,3,0,2,1.5,2,1,32490,541.5,1496,2756,768,815,1317,1837,8345,930,1574,744,59,157,354,0.046,0.0848,0.0236,0,1,1,0,7384,872,20,870,0,0,,,,,1009,40,0,28,1,10,0.0,0.25,0.3361,0.001,0.0009,0.4402,0.0033,0.1181,0.0213,0.0142,0.0311,0.3333,0.3122,0.824,0.8171,1.0,0.6695
WannaCry,1,2,15,15,4,16,WannaCry_T015_rep04,/home/pthrower/Datasets/WannaCry_20260330_065934/T015_rep04,94,51,12.7,2,3,0,1,4.43,36,5,103,9,94,94,0,35.15,320,2,0,2774,668,61.64,3177,361.09,1640.0,5.33,5,33,37,86,7,608,57,83,57,0,19.61,60,1,2,16643,5612,17,91,182.89,2220,0.0,0.0,0.0,90,7300,4,15,3,0,1,3,3,0,2,1.5,2,1,34041,523.71,1579,2945,786,838,1389,1880,8700,1035,1631,760,65,169,363,0.0464,0.0865,0.0231,0,1,1,0,7188,870,20,868,0,0,,,,,1009,40,0,28,1,10,0.0,0.25,0.3372,0.001,0.0009,0.4386,0.0033,0.121,0.0213,0.0119,0.031,0.3333,0.3049,0.8716,0.8243,1.0,0.8167
WannaCry,1,2,15,15,5,21,WannaCry_T015_rep05,/home/pthrower/Datasets/WannaCry_20260330_065934/T015_rep05,94,51,12.66,2,3,0,1,4.43,36,5,104,10,94,94,0,34.18,320,2,0,2528,636,56.18,2952,333.73,1640.0,5.2,5,34,35,78,7,612,94,121,94,0,19.74,60,1,2,16685,5612,17,91,183.35,2261,0.0,0.0,0.0,90,7337,4,15,3,0,1,3,3,0,2,1.5,2,1,32491,550.69,1504,2738,764,814,1315,1838,8381,948,1573,744,58,157,360,0.0463,0.0843,0.0235,0,1,1,0,7108,870,20,868,0,0,,,,,1009,40,0,28,1,10,0.0,0.25,0.3364,0.001,0.0009,0.4397,0.0033,0.1224,0.0213,0.0134,0.0309,0.3333,0.3219,0.8286,0.8176,1.0,0.7139
WannaCry,2,1,30,30,1,2,WannaCry_T030_rep01,/home/pthrower/Datasets/WannaCry_20260330_065934/T030_rep01,95,53,12.57,5,3,0,3,3.76,35,6,103,8,95,95,0,39.05,568,3,0,2540,634,57.73,3047,343.8,1640.0,5.32,5,34,35,75,7,584,35,60,35,0,18.84,59,1,1,16647,5642,15,92,180.95,2114,0.0,0.0,0.0,91,7225,4,15,2,0,2,2,2,0,1,2.0,2,1,33785,553.85,1625,3007,869,856,1388,1815,8542,1051,1558,749,62,176,433,0.0481,0.089,0.0257,0,1,1,0,4202,2,0,2,0,0,635,215,419,5,1091,43,2,29,2,12,0.0465,0.2791,0.3389,0.0009,0.0009,0.434,0.0017,0.0005,0.0316,0.0134,0.0295,1.0,0.4897,0.8679,1.1403,0.0133,0.7131
WannaCry,2,1,30,30,2,7,WannaCry_T030_rep02,/home/pthrower/Datasets/WannaCry_20260330_065934/T030_rep02,95,53,12.62,5,3,0,3,3.76,35,6,104,9,95,95,0,39.59,568,3,0,2553,637,56.73,3076,339.24,1640.0,5.33,5,30,35,76,7,588,33,59,33,0,18.97,59,1,1,16673,5642,15,92,181.23,2135,0.0,0.0,0.0,91,7252,4,15,2,0,2,2,2,0,1,2.0,2,1,33558,550.13,1616,3006,852,856,1385,1807,8481,1034,1540,749,62,176,434,0.0482,0.0896,0.0254,0,1,1,0,4210,2,0,2,0,0,635,215,419,5,1091,43,2,29,2,12,0.0465,0.2791,0.3384,0.0009,0.0009,0.435,0.0017,0.0005,0.0316,0.0118,0.0298,1.0,0.4888,0.8621,1.1355,0.0133,0.8109
WannaCry,2,1,30,30,3,12,WannaCry_T030_rep03,/home/pthrower/Datasets/WannaCry_20260330_065934/T030_rep03,95,53,12.54,5,3,0,3,3.76,35,6,102,7,95,95,0,39.05,568,3,0,2471,622,56.16,2969,333.64,1640.0,5.18,5,35,34,72,7,582,41,66,41,0,18.77,59,1,1,16750,5642,15,92,182.07,2218,0.0,0.0,0.0,91,7327,4,15,2,0,2,2,2,0,1,2.0,2,1,34016,557.64,1638,3029,871,856,1397,1822,8628,1061,1566,753,62,176,434,0.0482,0.089,0.0256,0,1,1,0,4191,2,0,2,0,0,635,215,419,5,1091,43,2,29,2,12,0.0465,0.2791,0.3368,0.0009,0.0009,0.4374,0.0017,0.0005,0.0316,0.0142,0.0291,1.0,0.4925,0.8747,1.14,0.0133,0.6602
WannaCry,2,1,30,30,4,17,WannaCry_T030_rep04,/home/pthrower/Datasets/WannaCry_20260330_065934/T030_rep04,95,53,12.52,5,3,0,3,3.76,35,6,104,9,95,95,0,39.23,568,3,0,2496,621,55.47,2982,327.64,1640.0,5.2,5,34,35,74,7,590,42,67,42,0,19.03,59,1,1,16708,5642,15,92,181.61,2181,0.0,0.0,0.0,91,7287,4,15,2,0,2,2,2,0,1,2.0,2,1,33900,546.77,1632,3024,857,856,1393,1823,8593,1054,1556,756,63,178,440,0.0481,0.0892,0.0253,0,1,1,0,4211,2,0,2,0,0,635,215,419,5,1091,43,2,29,2,12,0.0465,0.2791,0.3377,0.0009,0.0009,0.4361,0.0017,0.0005,0.0316,0.0136,0.0296,1.0,0.4929,0.8725,1.1385,0.0133,0.6985
WannaCry,2,1,30,30,5,22,WannaCry_T030_rep05,/home/pthrower/Datasets/WannaCry_20260330_065934/T030_rep05,95,53,12.58,5,3,0,3,3.76,35,6,103,8,95,95,0,39.59,568,3,0,2549,635,56.64,3067,337.58,1640.0,5.47,5,31,36,77,7,586,39,65,39,0,18.9,59,1,1,16724,5642,15,92,181.78,2198,0.0,0.0,0.0,91,7309,4,15,2,0,2,2,2,0,1,2.0,2,1,33528,549.64,1608,2998,805,856,1382,1808,8494,1031,1547,749,62,176,432,0.048,0.0894,0.024,0,1,1,0,4173,2,0,2,0,0,635,215,419,5,1091,43,2,29,2,12,0.0465,0.2791,0.3374,0.0009,0.0009,0.437,0.0017,0.0005,0.0316,0.0122,0.0302,1.0,0.4916,0.8613,1.1156,0.0133,0.7863
WannaCry,3,1,60,60,1,3,WannaCry_T060_rep01,/home/pthrower/Datasets/WannaCry_20260330_065934/T060_rep01,96,53,12.11,6,3,0,3,3.96,36,5,104,8,96,96,0,44.11,985,4,0,2053,547,48.88,2583,284.71,1640.0,5.57,4,5,34,63,7,421,47,71,47,0,12.38,46,1,1,17025,5677,15,93,183.06,2426,0.0,0.0,0.0,92,7538,4,15,,,,,,,,,,,32253,488.68,1630,2173,853,854,1357,1781,8279,768,1525,759,69,173,406,0.0505,0.0674,0.0264,0,1,1,0,3615,2,0,2,0,0,621,213,407,4,1124,45,4,29,2,14,0.0889,0.3111,0.3335,0.0009,0.0009,0.4428,0.0024,0.0006,0.0417,0.0024,0.0307,0,0.1874,0.7966,1.1292,0.0133,1.3725
