model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,WannaCry_macro_f1
ExtraTrees,0.9285,0.0879,0.884,0.973,0.9333,0.87,0.8303,0.2449,0.7064,0.9542,0.8603,0.9169,15,0.7778,0.9354
GradientBoosting,0.9285,0.0879,0.884,0.973,0.9333,0.89,0.8165,0.2452,0.6924,0.9405,0.8386,0.9316,15,0.7778,0.8938
RandomForest,0.9152,0.0976,0.8658,0.9645,0.9238,0.8585,0.7936,0.262,0.661,0.9262,0.8343,0.9091,15,0.7222,0.9363
XGBoost,0.9152,0.0913,0.8689,0.9614,0.9238,0.8578,0.7915,0.2582,0.6609,0.9222,0.8312,0.91,15,0.7222,0.9302
LogisticRegression,0.8764,0.1109,0.8203,0.9325,0.8857,0.8455,0.7547,0.2467,0.6299,0.8795,0.7909,0.8898,15,0.6914,0.8812
