model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1
GradientBoosting,0.9856,0.0385,0.9661,1.0051,0.9802,0.9806,0.982,0.0483,0.9576,1.0065,0.9753,0.9841,15,1.0,0.946
LogisticRegression,0.9674,0.0593,0.9374,0.9975,0.9505,0.9718,0.9675,0.0614,0.9364,0.9985,0.9502,0.9681,15,1.0,0.9024
ExtraTrees,0.9729,0.0583,0.9434,1.0024,0.9604,0.9681,0.9583,0.0965,0.9095,1.0071,0.9428,0.9743,15,1.0,0.8748
RandomForest,0.9735,0.0753,0.9354,1.0116,0.9604,0.9681,0.9573,0.1127,0.9003,1.0144,0.9402,0.9757,15,1.0,0.872
XGBoost,0.9299,0.1134,0.8725,0.9873,0.8911,0.9162,0.8772,0.1963,0.7778,0.9765,0.8064,0.9156,15,1.0,0.6315
