model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
RandomForest,80,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.844,0.4969,0.4762,0.8095,0.9524
ExtraTrees,80,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.8487,0.6026,0.4286,0.7619,1.0
GradientBoosting,80,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.9998,0.9963,1.0,1.0,1.0
LogisticRegression,80,21,0.9048,0.8667,0.86,0.8905,0.9875,0.0827,0.7619,1.0,0.68,1.0,95,1000,0.9075,0.5982,0.6667,0.9524,1.0
XGBoost,80,21,0.9048,0.8,0.7333,0.873,0.925,0.0202,0.7619,1.0,0.6,1.0,95,1000,0.7509,0.4014,0.4286,0.619,0.8095
