model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
GradientBoosting,84,21,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,95,1000,0.9856,0.7719,0.9524,1.0,1.0
LogisticRegression,84,21,0.9048,0.93,0.9109,0.912,1.0,0.0952,0.7619,1.0,0.7255,1.0,95,1000,0.8677,0.4957,0.619,0.8571,0.9524
XGBoost,84,21,0.9048,0.8833,0.8833,0.9048,1.0,0.0952,0.7619,1.0,0.6998,1.0,95,1000,0.7088,0.2815,0.4286,0.4762,0.7143
RandomForest,84,21,0.8095,0.8,0.6833,0.7421,0.9643,0.1548,0.619,0.9524,0.4791,0.775,95,1000,0.8297,0.45,0.4762,0.7143,0.9524
ExtraTrees,84,21,0.6667,0.5333,0.5143,0.6531,0.9762,0.3095,0.475,0.8571,0.3407,0.6,95,1000,0.8315,0.5244,0.5238,0.7143,1.0
