model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Jigsaw_macro_f1
GradientBoosting,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,15,1.0,1.0
XGBoost,0.9818,0.051,0.956,1.0076,0.9714,0.9861,0.9855,0.0407,0.9649,1.0061,0.9772,0.9818,15,1.0,0.9566
RandomForest,0.9818,0.0376,0.9628,1.0009,0.9714,0.9833,0.9844,0.0322,0.9681,1.0007,0.9755,0.981,15,1.0,0.9533
LogisticRegression,0.9697,0.0658,0.9364,1.003,0.9524,0.9778,0.9723,0.0607,0.9415,1.003,0.9564,0.9675,15,1.0,0.9168
ExtraTrees,0.9564,0.0703,0.9208,0.992,0.9429,0.9631,0.9385,0.1438,0.8658,1.0113,0.9352,0.962,15,0.9444,0.9267
