model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.929,0.0693,0.9041,0.9538,0.9207,0.9011,0.8612,0.1732,0.7992,0.9231,0.8544,0.9318,30,0.8918,0.9529,0.7616,0.731,0.9379
XGBoost,0.9251,0.0631,0.9025,0.9477,0.9233,0.8875,0.8162,0.2014,0.7441,0.8883,0.8232,0.9312,30,0.7836,0.8745,0.7728,0.7474,0.9351
LogisticRegression,0.8954,0.0895,0.8633,0.9274,0.8798,0.8611,0.8099,0.1862,0.7432,0.8765,0.7915,0.9008,30,0.8918,0.7826,0.6583,0.7582,0.8766
ExtraTrees,0.8731,0.0935,0.8397,0.9066,0.8721,0.818,0.7387,0.214,0.6622,0.8153,0.7487,0.8748,30,0.7211,0.5607,0.7114,0.8354,0.8828
RandomForest,0.8556,0.086,0.8249,0.8864,0.8593,0.8095,0.6913,0.2076,0.617,0.7656,0.7169,0.8669,30,0.5952,0.6254,0.7495,0.7216,0.8612
