model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
ExtraTrees,0.6199,0.1694,0.4538,0.786,0.6203,0.5254,0.4181,0.1733,0.2483,0.5879,0.4191,0.6229,4,,0.3401,0.6701,0.3826,0.2795
RandomForest,0.6043,0.1597,0.4477,0.7608,0.6044,0.462,0.3699,0.031,0.3395,0.4003,0.3703,0.606,4,,0.3401,0.4038,0.3883,0.3474
XGBoost,0.5666,0.1839,0.3864,0.7468,0.5664,0.4305,0.358,0.0424,0.3165,0.3995,0.358,0.5878,4,1.0,0.3595,0.4078,0.3604,0.3042
LogisticRegression,0.3853,0.0777,0.3092,0.4615,0.3861,0.3591,0.3023,0.0671,0.2365,0.368,0.3033,0.412,4,1.0,0.2248,0.3686,0.2688,0.3469
GradientBoosting,0.4235,0.1619,0.2649,0.5821,0.4241,0.3368,0.2878,0.0568,0.2321,0.3434,0.2882,0.4554,4,1.0,0.2486,0.3673,0.2451,0.29
