model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.4932,0.2038,0.2626,0.7238,0.4958,0.3647,0.3262,0.0818,0.2336,0.4188,0.3278,0.5263,3,,0.2328,0.3852,0.3607
ExtraTrees,0.4713,0.257,0.1804,0.7621,0.4746,0.4237,0.3218,0.1686,0.1311,0.5126,0.3239,0.5042,3,,0.2,0.5142,0.2513
LogisticRegression,0.4379,0.156,0.2615,0.6144,0.4407,0.4049,0.3073,0.0932,0.2019,0.4128,0.3091,0.4682,3,1.0,0.201,0.3463,0.3747
GradientBoosting,0.302,0.11,0.1775,0.4264,0.3008,0.3458,0.2298,0.101,0.1156,0.3441,0.2294,0.3505,3,1.0,0.2552,0.1186,0.3157
