model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,WannaCry_macro_f1
RandomForest,0.9393,0.0797,0.908,0.9705,0.9228,0.9227,0.9127,0.1402,0.8577,0.9677,0.8885,0.9386,25,1.0,0.967,0.7745,0.822
GradientBoosting,0.9528,0.057,0.9304,0.9751,0.9421,0.9293,0.8898,0.1772,0.8204,0.9593,0.8693,0.9544,25,0.9474,0.9656,0.6448,0.944
LogisticRegression,0.9168,0.084,0.8838,0.9497,0.8939,0.8824,0.8572,0.173,0.7894,0.925,0.8173,0.9154,25,1.0,0.8293,0.6088,0.8478
ExtraTrees,0.9163,0.0827,0.8838,0.9487,0.9003,0.8959,0.844,0.1866,0.7709,0.9171,0.8198,0.9217,25,0.9444,0.8458,0.6535,0.8318
