model,mean_accuracy,Benign,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.4869,0.0,0.7255,0.4909,0.5091,0.7091
RandomForest,0.4433,0.0,0.7255,0.4364,0.4545,0.6
LogisticRegression,0.422,0.0,0.5098,0.3273,0.6364,0.6364
SVM,0.3943,0.0,0.6078,0.2727,0.6,0.4909
KNN,0.3552,0.0,0.6667,0.1455,0.6,0.3636
GradientBoosting,0.337,0.0,0.6667,0.2,0.4364,0.3818
ExtraTrees,0.3224,0.0,0.6667,0.2182,0.5455,0.1818
