,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_wannacry_procs,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_unusual_dir_count,cmdline_script_tool_count,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,handle_wncryt_count,handle_eky_count,handle_fun_count,filescan_total,filescan_encrypted,filescan_ransom_notes,filescan_wncryt,filescan_fun,filescan_jigsaw_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,netstat_total,netstat_established,netstat_listening,netstat_unique_ips,netstat_outbound_count,netstat_established_ratio,netstat_outbound_ratio,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio,signal_injection_score,signal_encryption_score,tier1_composite
Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon/Evasion,99.34482758620689,54.793103448275865,13.617241379310345,5.586206896551724,2.3793103448275863,0.0,2.9310344827586206,4.196551724137931,38.03448275862069,4.9655172413793105,104.10344827586206,4.758620689655173,99.34482758620689,99.34482758620689,0.896551724137931,56.78310344827585,794.3793103448276,4.206896551724138,0.0,2819.5172413793102,656.9310344827586,49.071724137931035,3340.206896551724,283.4031034482759,1606.896551724138,5.155172413793104,4.0,29.413793103448278,44.06896551724138,90.20689655172414,7.0,2356.2413793103447,704.7586206896551,751.8965517241379,704.7586206896551,32.37896551724138,140.9655172413793,2.413793103448276,20.75862068965517,17234.827586206895,5866.0344827586205,17.06896551724138,96.96551724137932,177.90655172413787,2257.310344827586,0.0,0.0,0.0,95.96551724137932,7573.0,4.0,16.724137931034484,4.826086956521739,4.434782608695652,4.826086956521739,4.826086956521739,1.5217391304347827,2.970869565217391,4.043478260869565,1.3043478260869565,36900.137931034486,496.3710344827586,1752.2068965517242,2845.2758620689656,886.7931034482758,889.4137931034483,1677.7586206896551,1947.4137931034484,9520.379310344828,1043.103448275862,1611.2413793103449,866.8620689655172,76.10344827586206,199.72413793103448,504.3448275862069,0.04757931034482759,0.07736551724137931,0.02412758620689655,0.0,1.0,1.0,0.0,4088.6206896551726,1.8275862068965518,0.0,1.8275862068965518,0.0,0.0,628.4,206.32,421.08,3.96,1186.2413793103449,43.55172413793103,2.5517241379310347,28.93103448275862,2.0,12.448275862068966,0.05777586206896552,0.28525172413793104,0.34029999999999994,0.0009827586206896549,0.0009620689655172413,0.43948275862068964,0.004962068965517243,0.0004586206896551725,0.04268620689655174,0.01073448275862069,0.0316551724137931,0.7332034482758621,0.7359448275862069,0.012162068965517235,0.573344827586207
Active Enc,104.93333333333334,56.266666666666666,13.877999999999998,4.466666666666667,2.2,0.0,1.6,4.487333333333333,38.733333333333334,4.6,108.06666666666666,3.1333333333333333,104.93333333333334,104.93333333333334,1.6666666666666667,49.965333333333334,1201.0,2.533333333333333,0.0,2826.2,662.0,48.60466666666667,3156.6666666666665,265.65,1530.0,4.905333333333333,3.4,35.13333333333333,42.13333333333333,91.26666666666667,7.0,972.8666666666667,178.4,216.93333333333334,178.4,19.878666666666664,94.33333333333333,1.4666666666666666,2.8666666666666667,17535.2,6057.533333333334,23.8,102.73333333333333,171.72933333333333,2205.866666666667,0.0,0.0,0.0,101.73333333333333,7676.8,5.333333333333333,22.266666666666666,6.0,4.3,6.0,6.0,3.3,1.7729999999999997,2.8,2.3,37676.2,475.2613333333333,1773.7333333333333,2830.3333333333335,815.6,912.3333333333334,1734.2666666666667,2011.2,9805.866666666667,1079.4,1597.0,884.0666666666667,79.26666666666667,208.8,530.2666666666667,0.047080000000000004,0.07512666666666666,0.02163333333333333,0.0,3.8666666666666667,1.0,0.0,6188.933333333333,524.1333333333333,8.666666666666666,523.4,0.0,0.0,617.5454545454545,202.36363636363637,414.1818181818182,4.090909090909091,1342.4666666666667,41.266666666666666,1.0666666666666667,28.2,1.2666666666666666,10.733333333333333,0.0232,0.25808,0.3453,0.0013333333333333333,0.0012466666666666668,0.4380533333333333,0.002559999999999999,0.08944666666666665,0.025126666666666672,0.011753333333333333,0.03234666666666667,0.41111333333333333,0.7016866666666668,0.7182133333333333,0.3785866666666668
Post-Enc,97.13888888888889,53.388888888888886,12.382777777777777,4.472222222222222,2.5277777777777777,0.0,2.4444444444444446,4.332222222222223,37.083333333333336,4.694444444444445,105.30555555555556,8.166666666666666,97.13888888888889,97.13888888888889,0.7222222222222222,49.93527777777778,708.2777777777778,3.4444444444444446,0.0,2830.5555555555557,640.2777777777778,47.3525,3373.222222222222,321.48333333333335,3787.527777777778,47.25083333333334,4.222222222222222,33.0,45.94444444444444,93.0,7.0,341.72222222222223,33.27777777777778,53.80555555555556,33.27777777777778,9.766388888888889,47.638888888888886,0.7777777777777778,3.6944444444444446,16757.583333333332,5715.25,17.694444444444443,94.61111111111111,177.36305555555555,2334.472222222222,0.0,0.0,0.0,93.61111111111111,7433.305555555556,4.0,16.833333333333332,3.5454545454545454,2.8636363636363638,3.5454545454545454,3.5454545454545454,2.409090909090909,1.535909090909091,1.7727272727272727,1.9090909090909092,34012.916666666664,463.6569444444445,1656.0555555555557,2291.0555555555557,751.1388888888889,863.6944444444445,1443.8333333333333,1858.1666666666667,8926.277777777777,911.6111111111111,1552.2222222222222,834.8333333333334,72.86111111111111,181.91666666666666,396.69444444444446,0.04887500000000001,0.06614166666666667,0.022238888888888888,0.0,26.583333333333332,0.9444444444444444,0.0,4539.472222222223,157.66666666666666,5.416666666666667,157.25,0.0,0.0,625.16,204.6,419.56,4.28,1155.9722222222222,43.69444444444444,2.6666666666666665,29.02777777777778,1.7222222222222223,12.666666666666666,0.0589138888888889,0.28849444444444444,0.34104999999999996,0.0010555555555555552,0.0010111111111111108,0.4438,0.014263888888888888,0.026469444444444448,0.03521666666666666,0.011633333333333334,0.0329388888888889,0.4992027777777778,0.45703055555555555,0.42999999999999994,0.45394166666666663
