,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_wannacry_procs,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_unusual_dir_count,cmdline_script_tool_count,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,handle_wncryt_count,handle_eky_count,handle_fun_count,filescan_total,filescan_encrypted,filescan_ransom_notes,filescan_wncryt,filescan_fun,filescan_jigsaw_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,netstat_total,netstat_established,netstat_listening,netstat_unique_ips,netstat_outbound_count,netstat_established_ratio,netstat_outbound_ratio,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio,signal_injection_score,signal_encryption_score,tier1_composite
Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon/Evasion,89.92307692307692,47.0,14.853846153846153,1.2307692307692308,1.2307692307692308,0.0,0.0,5.148461538461538,37.38461538461539,4.0,94.15384615384616,4.230769230769231,89.92307692307692,89.92307692307692,1.6923076923076923,113.34769230769233,1251.0,6.846153846153846,0.0,4695.2307692307695,873.1538461538462,58.886153846153846,4981.923076923077,309.0315384615384,1527.3846153846155,5.8246153846153845,4.846153846153846,54.0,72.46153846153847,161.53846153846155,7.0,1254.1538461538462,73.15384615384616,106.84615384615384,73.15384615384616,17.922307692307694,100.0,2.6153846153846154,13.076923076923077,16011.076923076924,5447.538461538462,19.53846153846154,88.6923076923077,180.53615384615384,2224.076923076923,0.0,0.0,0.0,87.6923076923077,7255.615384615385,3.923076923076923,19.53846153846154,5.3076923076923075,5.3076923076923075,5.3076923076923075,5.3076923076923075,2.3846153846153846,2.2053846153846157,3.1538461538461537,2.3846153846153846,38056.846153846156,461.6853846153846,1809.0,2711.6153846153848,715.0769230769231,844.9230769230769,1879.3846153846155,1961.8461538461538,9889.615384615385,1100.6153846153845,1509.923076923077,943.4615384615385,81.3076923076923,209.07692307692307,564.2307692307693,0.04757692307692307,0.07115384615384615,0.018738461538461537,0.0,0.0,0.0,0.0,4338.615384615385,0.0,0.0,0.0,0.0,0.0,635.0,188.15384615384616,445.84615384615387,3.923076923076923,1050.5384615384614,40.15384615384615,0.0,28.0,1.0,9.538461538461538,0.0,0.23731538461538462,0.34030000000000005,0.001215384615384615,0.001215384615384615,0.45314615384615387,0.010484615384615386,0.0,0.07620769230769231,0.011623076923076922,0.03433846153846155,1.0,0.8480846153846154,0.0,0.8337230769230768
Active Enc,100.48148148148148,53.22222222222222,13.75222222222222,2.037037037037037,2.5185185185185186,0.0,0.0,5.0818518518518525,39.22222222222222,4.518518518518518,105.77777777777777,5.296296296296297,100.48148148148148,100.48148148148148,1.5925925925925926,83.36629629629631,1102.4814814814815,4.925925925925926,0.0,4756.851851851852,875.0370370370371,57.932592592592606,5089.481481481482,314.19074074074075,1732.2222222222222,8.091481481481482,5.555555555555555,54.18518518518518,72.25925925925925,162.44444444444446,7.0,2119.185185185185,109.70370370370371,156.59259259259258,109.70370370370371,32.97518518518519,148.1851851851852,2.5185185185185186,19.296296296296298,17243.666666666668,5930.407407407408,22.296296296296298,97.96296296296296,176.66185185185185,2275.222222222222,0.0,0.0,0.0,96.96296296296296,7603.666666666667,4.925925925925926,20.48148148148148,10.333333333333334,9.11111111111111,10.333333333333334,10.333333333333334,4.407407407407407,2.399259259259259,4.777777777777778,3.6666666666666665,40557.555555555555,466.5762962962963,1876.0740740740741,3178.8518518518517,770.074074074074,912.8888888888889,1820.4074074074074,2133.222222222222,10524.518518518518,1177.851851851852,1708.1851851851852,968.1851851851852,86.14814814814815,219.1851851851852,666.3333333333334,0.04630370370370371,0.07818888888888888,0.018992592592592592,0.0,0.0,0.0,0.0,6352.259259259259,0.5185185185185185,0.0,0.0,0.0,0.0,634.1923076923077,212.46153846153845,420.7307692307692,4.461538461538462,1229.7777777777778,40.25925925925926,0.0,28.25925925925926,1.0,9.88888888888889,0.0,0.2456074074074074,0.3438481481481482,0.0012962962962962963,0.0012,0.44107037037037033,0.005162962962962963,0.00010370370370370371,0.05034444444444445,0.010770370370370371,0.034333333333333334,0.8568962962962964,0.911974074074074,0.003474074074074074,0.5751074074074074
Post-Enc,89.05,47.45,12.39825,1.05,2.75,0.0,0.0,4.726999999999999,35.775,4.875,100.075,11.025,89.05,89.05,0.7,92.6055,1114.75,5.775,0.0,4564.525,869.4,60.6495,5022.55,339.71975,1616.0,5.77125,6.875,61.95,66.25,149.3,7.0,152.625,10.925,23.2,10.925,7.4305,33.65,0.7,3.525,16155.15,5415.325,15.5,86.3,187.21925,2419.225,0.0,0.0,0.0,85.3,7284.4,3.875,15.5,4.7,4.7,4.7,4.7,2.75,1.8475000000000001,2.825,2.75,37411.4,491.28325000000007,1768.35,3090.025,671.25,837.025,1511.225,1954.05,9616.65,1146.225,1669.7,907.1,75.15,187.6,617.8,0.0472775,0.0825625,0.0179325,0.0,0.0,0.0,0.0,5544.575,0.875,0.0,0.0,0.0,0.0,635.0,211.65,422.35,5.0,1001.775,40.125,0.0,28.125,1.0,10.0,0.0,0.2492375,0.33528,0.0009524999999999999,0.0009524999999999999,0.450985,0.019984999999999996,0.000175,0.06494,0.013534999999999997,0.0327,1.0,0.6445825,0.005862500000000001,0.7915300000000001
