,precision,recall,f1-score,support
Benign (baseline),1.0,0.875,0.9333333333333333,16.0
Pre-launch,0.6666666666666666,1.0,0.8,8.0
Pre-encryption,1.0,0.7857142857142857,0.88,14.0
Encrypting,0.9285714285714286,1.0,0.9629629629629629,13.0
Post-encryption,1.0,1.0,1.0,3.0
accuracy,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074
macro avg,0.919047619047619,0.9321428571428572,0.9152592592592592,54.0
weighted avg,0.93342151675485,0.9074074074074074,0.9105898491083677,54.0
