model,mean_accuracy,Benign,Cerber,Dharma,Jigsaw,WannaCry
SVM,0.4128,0.48,0.5294,0.3273,0.6909,0.0364
KNN,0.4114,0.26,0.7059,0.3273,0.6909,0.0727
LogisticRegression,0.3602,0.14,0.5882,0.3455,0.6182,0.1091
RandomForest,0.3533,0.1,0.6667,0.3455,0.5455,0.1091
ExtraTrees,0.3355,0.12,0.6667,0.2364,0.6364,0.0182
XGBoost,0.3248,0.04,0.5294,0.3818,0.5273,0.1455
GradientBoosting,0.2852,0.06,0.5294,0.3091,0.5091,0.0182
