model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Dharma_macro_f1
XGBoost,0.9297,0.0927,0.8828,0.9766,0.9238,0.7778,0.7606,0.3072,0.6052,0.9161,0.7191,0.8981,15,0.8333,0.6152
RandomForest,0.8924,0.1312,0.8182,0.9667,0.9028,0.8237,0.7191,0.2943,0.5526,0.8856,0.7222,0.896,12,0.7153,0.7381
ExtraTrees,0.8924,0.1312,0.8182,0.9667,0.9028,0.8237,0.7191,0.2943,0.5526,0.8856,0.7222,0.896,12,0.7153,0.7381
LogisticRegression,0.9091,0.0947,0.8612,0.957,0.9143,0.8206,0.7098,0.2888,0.5637,0.856,0.7027,0.9096,15,0.7222,0.6851
GradientBoosting,0.903,0.0976,0.8536,0.9524,0.9048,0.7984,0.6865,0.3075,0.5309,0.8422,0.6662,0.9009,15,0.7222,0.6152
