model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.6576,0.0683,0.5906,0.7246,0.6574,0.6207,0.5714,0.1232,0.4506,0.6921,0.5704,0.6528,4,0.94,0.6252,0.4282,0.5208,0.7113
ExtraTrees,0.5702,0.0905,0.4814,0.6589,0.5695,0.5586,0.5068,0.1443,0.3654,0.6481,0.5054,0.5953,4,1.0,0.5814,0.3001,0.5205,0.625
GradientBoosting,0.5918,0.1514,0.4434,0.7402,0.5926,0.5753,0.4871,0.2189,0.2726,0.7016,0.4876,0.5869,4,0.8,0.4611,0.2805,0.412,0.7949
RandomForest,0.6027,0.1,0.5047,0.7006,0.6019,0.5733,0.4615,0.1473,0.3172,0.6058,0.4618,0.5782,4,0.98,0.447,0.2979,0.4451,0.656
LogisticRegression,0.4852,0.1863,0.3026,0.6678,0.4815,0.4964,0.3978,0.1428,0.2579,0.5377,0.3945,0.4833,4,0.8,0.5741,0.2417,0.4401,0.3353
