,precision,recall,f1-score,support
Benign (baseline),0.0,0.0,0.0,0.0
Pre-launch,0.7777777777777778,0.7,0.7368421052631579,10.0
Pre-encryption,1.0,0.8,0.8888888888888888,10.0
Encrypting,0.8695652173913043,1.0,0.9302325581395349,20.0
Post-encryption,0.8571428571428571,0.8,0.8275862068965517,15.0
accuracy,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.8545454545454545
macro avg,0.7008971704623879,0.6599999999999999,0.6767099518376266,55.0
weighted avg,0.8732040905953948,0.8545454545454545,0.859559167413808,55.0
