model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
XGBoost,0.9664,0.0846,0.9361,0.9966,0.9587,0.9583,0.9521,0.1122,0.9119,0.9922,0.941,0.9639,30,1.0,0.9245,0.788,1.0,1.0
RandomForest,0.9515,0.1113,0.9117,0.9913,0.9399,0.941,0.9435,0.1298,0.8971,0.9899,0.9299,0.947,30,1.0,0.9511,0.7098,1.0,1.0
ExtraTrees,0.947,0.1012,0.9108,0.9833,0.9361,0.9414,0.9404,0.119,0.8978,0.983,0.928,0.9431,30,1.0,0.8918,0.7649,0.9857,1.0
GradientBoosting,0.9576,0.1033,0.9206,0.9946,0.9474,0.95,0.9397,0.1503,0.8859,0.9934,0.9251,0.9553,30,1.0,0.9733,0.6912,1.0,0.9733
LogisticRegression,0.9198,0.1305,0.8731,0.9665,0.9023,0.9248,0.9108,0.1426,0.8598,0.9618,0.8913,0.9166,30,1.0,0.8389,0.7124,0.9135,1.0
