model,mean_accuracy,Benign,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.7499,0.34,0.8824,0.7091,0.9091,0.9091
RandomForest,0.7353,0.12,0.902,0.7636,0.9818,0.9091
LogisticRegression,0.6781,0.42,0.8431,0.4727,0.9091,0.7455
GradientBoosting,0.6713,0.2,0.902,0.3636,0.9818,0.9091
KNN,0.6448,0.36,0.8824,0.5091,0.9091,0.5636
SVM,0.6349,0.4,0.902,0.4545,0.9091,0.5091
ExtraTrees,0.5302,0.1,0.8235,0.5455,0.8182,0.3636
