,precision,recall,f1-score,support
Pre-launch,0.4117647058823529,0.7,0.5185185185185185,10.0
Pre-encryption,0.625,0.5,0.5555555555555556,10.0
Encrypting,0.75,0.75,0.75,20.0
Post-encryption,1.0,0.6666666666666666,0.8,15.0
accuracy,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.6727272727272727
macro avg,0.6966911764705882,0.6541666666666667,0.6560185185185186,55.0
weighted avg,0.733957219251337,0.6727272727272727,0.6861952861952861,55.0
