,precision,recall,f1-score,support
Pre-launch,0.375,0.3,0.3333333333333333,10.0
Pre-encryption,0.5,0.1,0.16666666666666666,10.0
Encrypting,0.6153846153846154,0.8,0.6956521739130435,20.0
Post-encryption,0.21428571428571427,0.2,0.20689655172413793,15.0
micro avg,0.46,0.41818181818181815,0.4380952380952381,55.0
macro avg,0.4261675824175824,0.35000000000000003,0.35063718140929534,55.0
weighted avg,0.4413086913086913,0.41818181818181815,0.40029985007496244,55.0
