,precision,recall,f1-score,support
Pre-launch,0.35714285714285715,0.5,0.4166666666666667,10.0
Pre-encryption,0.5454545454545454,0.6,0.5714285714285714,10.0
Encrypting,1.0,0.75,0.8571428571428571,20.0
Post-encryption,1.0,1.0,1.0,15.0
accuracy,0.7454545454545455,0.7454545454545455,0.7454545454545455,0.7454545454545455
macro avg,0.7256493506493507,0.7125,0.7113095238095238,55.0
weighted avg,0.8004722550177095,0.7454545454545455,0.764069264069264,55.0
