feature,importance
handle_mutex_ratio,0.05366529209956766
pslist_wow64_count,0.0516575681275006
dlllist_unusual_path_ratio,0.05088522453650355
vad_avg_regions_per_process,0.05031184120885904
filescan_total,0.042999130744087094
vad_max_regions_per_process,0.039548884217178976
dlllist_unusual_path_hit_count,0.0380678035484617
handle_semaphore_count,0.03738830479269294
cmdline_unusual_dir_ratio,0.03573035832192986
handle_mutex_count,0.035127529028201286
cmdline_unusual_dir_count,0.03433719885443289
handle_registry_ratio,0.030374653825298765
handle_registry_count,0.02954557639562431
vad_exec_ratio,0.028587047302922
handle_avg_per_process,0.026754088267058482
ldrmodules_avg_per_process,0.02613284437597195
ldrmodules_total,0.022079395203216317
handle_file_ratio,0.01670746386206145
pslist_avg_children,0.016689905060670196
pslist_unique_names,0.016505941716814042
psscan_count,0.015983314134626708
vad_total,0.012839271643814557
malfind_pid_count,0.01283143417437557
cmdline_count,0.012470337670900037
cmdline_avg_length,0.012454891794416343
cmdline_max_length,0.011331802393404299
vad_rwx_ratio,0.011033361901690556
dlllist_max_load_total_per_process,0.010515533556720675
dlllist_avg_max_loadcount_per_process,0.010059512151794509
pslist_count,0.009686919063173231
svcscan_stopped,0.009627990841149757
handle_section_count,0.009175873191046324
pslist_avg_threads,0.008591406944271381
handle_process_count,0.0080928884047791
vad_private_region_count,0.0077637498583174045
malfind_avg_regions_per_process,0.007631167100687373
dlllist_crypto_ratio,0.007481765963882266
cmdline_with_args,0.007402708781868481
dlllist_crypto_hit_count,0.007087827296583222
ldrmodules_suspicious_path_hit_count,0.006911035220482323
vad_exec_count,0.006331509103211151
dlllist_unusual_path_pid_count,0.005433963478724182
handle_token_count,0.005424104153182874
dlllist_unique_dlls,0.005140966613549861
dlllist_avg_per_process,0.005128658859719476
ldrmodules_suspicious_path_ratio,0.00506361927893528
ldrmodules_max_per_process,0.0048988254824439
handle_total,0.004367651528864752
priv_total_enabled,0.004315140856144275
vad_private_ratio,0.0042893287534943375
svcscan_running,0.00425227288901995
ldrmodules_not_in_load,0.00421903445159802
dlllist_non_system,0.00387678841924175
ldrmodules_not_in_init,0.00378509679453988
handle_event_count,0.003773883877726083
ldrmodules_not_in_mem,0.0037374442622127705
handle_thread_count,0.0037270544856903612
malfind_rwx_ratio,0.0035916486503484966
vad_priv_exec_ratio,0.0035372116134026604
dlllist_crypto_pid_count,0.0032320145782607558
ldrmodules_suspicious_path_pid_count,0.0030361079305890916
dlllist_avg_load_total_per_process,0.0026561805987086865
svcscan_total,0.002404626618103573
dlllist_total,0.0022860020148222676
vad_pid_count,0.002183062818110449
vad_private_exec,0.0015864876436117708
svcscan_security_stopped,0.001492527235568802
handle_directory_count,0.0014609667631128465
handle_timer_count,0.001453110404739689
pslist_max_children,0.0013115815124844924
handle_file_count,0.0012872716628512674
vad_private_pid_count,0.0012491586049204041
pslist_parent_missing_count,0.0011963946771477673
vad_rwx_region_count,0.0011863320168418823
handle_desktop_count,0.0009826979697601101
malfind_max_regions_per_process,0.0007907870446884706
handle_port_count,0.0007854639130605445
malfind_rwx_pid_count,0.0007836211260608673
hidden_process_count,0.0005573601952583077
cmdline_suspicious_count,0.00041815746092445486
malfind_rwx_region_count,0.0002571190047286514
malfind_count,0.0001806365648687818
pslist_exited_count,0.0001496870499161348
malfind_private,9.029774803431593e-05
malfind_private_exec,1.9299713738215932e-05
cmdline_script_tool_count,0.0
pslist_ransom_procs,0.0
vad_rwx_pid_count,0.0
malfind_mz_regions,0.0
