,precision,recall,f1-score,support
Pre-encryption,1.0,1.0,1.0,7.0
Encryption-active,1.0,1.0,1.0,37.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,44.0
weighted avg,1.0,1.0,1.0,44.0
