model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
RandomForest,0.575,0.3603,0.1672,0.9828,0.5805,0.3611,0.3431,0.1452,0.1787,0.5074,0.3455,0.5645,3,1.0,0.2,0.4904,0.3388
ExtraTrees,0.5529,0.4035,0.0963,1.0094,0.5593,0.3481,0.3262,0.1741,0.1291,0.5233,0.3293,0.5354,3,1.0,0.1461,0.4937,0.3388
LogisticRegression,0.3987,0.2034,0.1686,0.6288,0.4026,0.3584,0.2848,0.1189,0.1502,0.4193,0.287,0.4354,3,1.0,0.1533,0.3848,0.3162
GradientBoosting,0.4077,0.1891,0.1937,0.6216,0.411,0.264,0.2807,0.0993,0.1684,0.3931,0.2825,0.4556,3,1.0,0.1739,0.3701,0.2982
