model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9981,0.0095,0.9944,1.0018,0.9976,0.98,0.9795,0.1024,0.9394,1.0197,0.9738,0.9972,25,1.0,1.0,0.8976,1.0
LogisticRegression,0.9806,0.0311,0.9685,0.9928,0.9757,0.9787,0.9543,0.1085,0.9118,0.9969,0.9423,0.9819,25,1.0,0.9262,0.8976,0.9479
RandomForest,0.9924,0.0178,0.9854,0.9994,0.9903,0.9576,0.9534,0.1415,0.8979,1.0089,0.9404,0.9907,25,1.0,0.9829,0.7951,0.9889
ExtraTrees,0.9844,0.0232,0.9754,0.9935,0.9805,0.9398,0.9216,0.1675,0.856,0.9873,0.9007,0.9833,25,1.0,0.9369,0.6927,0.9785
