model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
GradientBoosting,0.9077,0.1517,0.7361,1.0794,0.91,0.8185,0.8189,0.1874,0.6068,1.031,0.8214,0.9184,3,0.0,0.6257,0.8309,1.0
XGBoost,0.7757,0.3803,0.3453,1.2061,0.7813,0.7868,0.7222,0.3453,0.3314,1.1129,0.7271,0.781,3,0.0,0.3356,0.8309,1.0
ExtraTrees,0.5613,0.3945,0.1148,1.0077,0.5659,0.4361,0.4511,0.29,0.1229,0.7793,0.4548,0.5855,3,1.0,0.1653,0.7451,0.4429
RandomForest,0.6723,0.277,0.3589,0.9858,0.6753,0.4081,0.3916,0.0951,0.2839,0.4992,0.3926,0.6567,3,0.79,0.3082,0.4952,0.3713
LogisticRegression,0.549,0.3009,0.2086,0.8895,0.553,0.5933,0.3834,0.1579,0.2048,0.5621,0.3853,0.5394,3,0.96,0.2364,0.5503,0.3636
