model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1,Dharma_macro_f1,Jigsaw_macro_f1,WannaCry_macro_f1
GradientBoosting,0.9521,0.0717,0.9265,0.9778,0.9586,0.9195,0.8558,0.2257,0.7751,0.9366,0.8713,0.9543,30,0.7778,0.9822,0.7203,0.92,0.9569
ExtraTrees,0.9312,0.0819,0.9019,0.9605,0.9286,0.8605,0.813,0.2684,0.7169,0.909,0.8061,0.9227,30,0.8333,0.92,0.3549,1.0,0.9362
XGBoost,0.9309,0.0861,0.9001,0.9617,0.9323,0.879,0.8097,0.2345,0.7258,0.8936,0.8141,0.9312,30,0.7778,0.8917,0.6847,0.8356,0.891
RandomForest,0.9246,0.0876,0.8932,0.9559,0.9248,0.8661,0.8029,0.2626,0.709,0.8969,0.8061,0.9239,30,0.7778,0.9556,0.5997,0.8155,0.8912
LogisticRegression,0.9121,0.0863,0.8812,0.943,0.9135,0.8535,0.76,0.2545,0.6689,0.851,0.7609,0.9154,30,0.7397,0.9238,0.4173,0.92,0.8193
