model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
GradientBoosting,0.3154,0.2768,0.0441,0.5867,0.3194,0.3436,0.242,0.1646,0.0807,0.4032,0.2442,0.3264,4,0.98,0.1243,0.3353,0.0833,0.425
XGBoost,0.2605,0.2503,0.0152,0.5058,0.2639,0.3532,0.2186,0.1821,0.0401,0.397,0.2208,0.2712,4,0.98,0.0962,0.3469,0.0312,0.4
LogisticRegression,0.2742,0.1922,0.0858,0.4625,0.2778,0.3088,0.1966,0.1194,0.0796,0.3136,0.1982,0.3063,4,0.82,0.1111,0.1532,0.1486,0.3734
RandomForest,0.27,0.26,0.0152,0.5247,0.2731,0.3588,0.1843,0.1714,0.0163,0.3523,0.1857,0.2642,4,1.0,0.1087,0.2284,0.0,0.4
ExtraTrees,0.2462,0.2103,0.04,0.4523,0.25,0.2429,0.137,0.0587,0.0795,0.1946,0.1385,0.2615,4,0.98,0.0588,0.1846,0.125,0.1797
