model,mean_accuracy,Benign,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.5306,0.0,0.7255,0.5455,0.6727,0.7091
RandomForest,0.5045,0.0,0.6863,0.4909,0.6,0.7455
ExtraTrees,0.4978,0.0,0.7255,0.3091,0.6909,0.7636
GradientBoosting,0.493,0.0,0.6471,0.2727,0.7273,0.8182
SVM,0.4754,0.0,0.6863,0.5636,0.7273,0.4
KNN,0.4027,0.0,0.6863,0.2364,0.6364,0.4545
LogisticRegression,0.3834,0.0,0.6078,0.3636,0.6182,0.3273
