model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,WannaCry
GradientBoosting,0.3705,0.1088,0.2474,0.4936,0.3733,0.3688,0.31,0.098,0.199,0.421,0.3117,0.3985,3,1.0,0.2024,0.3333,0.3943
RandomForest,0.5024,0.1676,0.3128,0.6921,0.5067,0.2853,0.2418,0.0776,0.1541,0.3296,0.2423,0.4786,3,,0.1818,0.2143,0.3294
ExtraTrees,0.449,0.1778,0.2478,0.6503,0.4533,0.3302,0.2293,0.0588,0.1628,0.2958,0.2309,0.4501,3,,0.1667,0.2833,0.2379
LogisticRegression,0.3166,0.1336,0.1654,0.4678,0.32,0.2901,0.2192,0.109,0.0958,0.3426,0.2214,0.3346,3,1.0,0.0952,0.2624,0.3
