,precision,recall,f1-score,support
Pre-enc Active,0.1,0.5,0.16666666666666666,2.0
Active Encryption,0.671875,0.8431372549019608,0.7478260869565218,51.0
Post-Encryption,0.6666666666666666,0.14814814814814814,0.24242424242424243,27.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.47951388888888885,0.4970951343500363,0.3856389986824769,80.0
weighted avg,0.6558203125000001,0.6,0.5627239789196311,80.0
