model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
GradientBoosting,312,79,0.9747,0.9808,0.965,0.9754,1.0,0.0253,0.9367,1.0,0.901,1.0,95,1000,0.9875,0.5011,0.962,0.9873,1.0
LogisticRegression,312,79,0.9241,0.9407,0.9242,0.9238,0.9519,0.0278,0.8608,0.9747,0.8503,0.9775,95,1000,0.855,0.5141,0.4937,0.7595,1.0
ExtraTrees,312,79,0.9241,0.9028,0.9202,0.9241,0.9679,0.0438,0.8608,0.9747,0.8344,0.9793,95,1000,0.8617,0.5017,0.5696,0.8101,1.0
RandomForest,312,79,0.8861,0.8542,0.8727,0.8827,0.9583,0.0722,0.8101,0.9494,0.7615,0.9488,95,1000,0.8647,0.4813,0.519,0.8481,0.9747
