model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,benign_fpr,Cerber,Dharma,Jigsaw,WannaCry
ExtraTrees,0.638,0.1322,0.5085,0.7675,0.6392,0.5489,0.4742,0.1043,0.372,0.5764,0.4762,0.6314,4,1.0,0.3203,0.551,0.5066,0.519
RandomForest,0.6756,0.1163,0.5616,0.7897,0.6772,0.5869,0.4718,0.1312,0.3432,0.6003,0.4736,0.6575,4,1.0,0.3259,0.3998,0.6074,0.554
GradientBoosting,0.5872,0.1538,0.4365,0.7379,0.5886,0.5983,0.444,0.0935,0.3524,0.5357,0.4458,0.604,4,1.0,0.3062,0.4958,0.5078,0.4663
LogisticRegression,0.473,0.1073,0.3679,0.5782,0.4747,0.4628,0.3774,0.1215,0.2584,0.4965,0.3793,0.4762,4,1.0,0.2315,0.3856,0.3644,0.5283
