model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_folds,Benign,Cerber,Dharma,Jigsaw,WannaCry
XGBoost,0.5378,0.3098,0.2663,0.8094,0.5451,0.5024,0.4611,0.2905,0.2064,0.7157,0.4663,0.5311,5,0.0,0.6905,0.361,0.5663,0.6876
RandomForest,0.5197,0.3074,0.2502,0.7891,0.5263,0.4968,0.443,0.2872,0.1913,0.6948,0.4481,0.5176,5,0.0,0.6612,0.3868,0.4362,0.731
GradientBoosting,0.5001,0.3419,0.2004,0.7997,0.5075,0.4873,0.4231,0.3288,0.1349,0.7113,0.4301,0.4913,5,0.0,0.4835,0.1987,0.6002,0.8331
ExtraTrees,0.4975,0.3515,0.1894,0.8057,0.5038,0.4981,0.4221,0.2923,0.1659,0.6783,0.4268,0.5332,5,0.0,0.6332,0.2291,0.6167,0.6314
LogisticRegression,0.4061,0.2792,0.1613,0.6508,0.4098,0.412,0.3477,0.2381,0.1391,0.5564,0.351,0.4187,5,0.0,0.5653,0.2521,0.5697,0.3516
