model,n_train,n_test,accuracy,balanced_acc,macro_f1,weighted_f1,train_accuracy,overfit_gap,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,ci_pct,n_boot,conf_mean,conf_min,conf_pct_90,conf_pct_70,conf_pct_50
ExtraTrees,212,54,0.9444,0.9458,0.9457,0.9444,1.0,0.0556,0.8704,1.0,0.8685,1.0,95,1000,0.761,0.3109,0.2778,0.7037,0.9444
RandomForest,212,54,0.9444,0.9458,0.9401,0.9447,1.0,0.0556,0.8704,1.0,0.8601,1.0,95,1000,0.7224,0.3385,0.1111,0.6111,0.9259
XGBoost,212,54,0.9444,0.9333,0.9335,0.943,1.0,0.0556,0.8704,1.0,0.8448,1.0,95,1000,0.9276,0.4948,0.8519,0.9074,0.9815
GradientBoosting,212,54,0.9259,0.9333,0.9284,0.9265,1.0,0.0741,0.8519,0.9815,0.8477,0.9859,95,1000,0.968,0.5027,0.9259,0.9444,1.0
LogisticRegression,212,54,0.8333,0.8633,0.8473,0.8328,0.9906,0.1573,0.7222,0.9259,0.7405,0.9315,95,1000,0.8055,0.3234,0.5926,0.6481,0.8519
