label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,benign_fpr,wtd_macro_f1,n_folds,n_instances
stage_binary,Standard 80/20,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9951,0.9747,312.0,79.0,,,,
stage_binary,Standard 80/20,RandomForest,0.9747,0.9367,1.0,0.9773,0.9745,0.9332,1.0,0.9747,0.984,0.0093,0.9458,0.8608,312.0,79.0,,,,
stage_binary,Standard 80/20,ExtraTrees,0.9747,0.9367,1.0,0.9773,0.9745,0.9357,1.0,0.9747,0.9776,0.0029,0.9294,0.7975,312.0,79.0,,,,
stage_binary,Standard 80/20,LogisticRegression,0.9494,0.8987,0.9873,0.9487,0.9487,0.8949,0.9873,0.9494,0.9583,0.0089,0.8983,0.6329,312.0,79.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,0.9114,0.8481,0.9747,0.9238,0.9241,0.8653,0.9746,0.9115,1.0,0.0886,0.9904,0.962,312.0,79.0,,,,
stage_binary,LOIO,GradientBoosting,0.9719,0.9548,0.9889,0.9331,0.9139,0.8552,0.9726,0.9735,,,,,,,,0.9119,,30.0
behavior_stage,Standard 80/20,ExtraTrees,0.8987,0.8354,0.962,0.911,0.9108,0.8494,0.9648,0.8971,0.9551,0.0564,0.8727,0.5949,312.0,79.0,,,,
behavior_stage,Standard 80/20,RandomForest,0.8861,0.8101,0.9494,0.902,0.9023,0.8369,0.9574,0.8859,0.9679,0.0818,0.8753,0.6076,312.0,79.0,,,,
behavior_stage,LOIO,GradientBoosting,0.9427,0.9201,0.9653,0.9176,0.8891,0.8356,0.9427,0.9431,,,,,,,,0.8807,,30.0
behavior_stage,Standard 80/20,LogisticRegression,0.8481,0.7595,0.9241,0.8699,0.8716,0.7989,0.9343,0.8496,0.9679,0.1198,0.8795,0.6329,312.0,79.0,,,,
stage_binary,LOIO,LogisticRegression,0.9389,0.9176,0.9602,0.8956,0.8598,0.7965,0.9232,0.9423,,,,,,,,0.8473,,30.0
behavior_stage,LOIO,LogisticRegression,0.8982,0.8663,0.9301,0.8514,0.8264,0.7645,0.8882,0.895,,,,,,,,0.798,,30.0
behavior_stage,LOIO,RandomForest,0.9171,0.888,0.9462,0.8818,0.8222,0.751,0.8935,0.9195,,,,,,,,0.8387,,30.0
behavior_stage,LOIO,ExtraTrees,0.8977,0.8678,0.9276,0.856,0.79,0.7171,0.863,0.8962,,,,,,,,0.8016,,30.0
stage_binary,LOIO,ExtraTrees,0.9138,0.8871,0.9405,0.8316,0.7623,0.6762,0.8483,0.9135,,,,,,,,0.7767,,30.0
stage_binary,LOIO,RandomForest,0.8817,0.8477,0.9156,0.8016,0.7225,0.6387,0.8064,0.8859,,,,,,,,0.7384,,30.0
stage_binary,LOO,RandomForest,0.7668,0.6318,0.9018,0.6584,0.6479,0.4619,0.8339,0.7791,,,,,,,1.0,0.6514,4.0,
stage_binary,LOO,ExtraTrees,0.6855,0.4287,0.9423,0.6,0.6255,0.3758,0.8752,0.7078,,,,,,,1.0,0.6302,4.0,
stage_binary,LOO,GradientBoosting,0.6209,0.4804,0.7614,0.5815,0.5477,0.3593,0.7362,0.6674,,,,,,,0.7867,0.5505,4.0,
behavior_stage,LOO,RandomForest,0.6216,0.4806,0.7625,0.5724,0.5346,0.4408,0.6285,0.6291,,,,,,,1.0,0.5362,4.0,
behavior_stage,LOO,ExtraTrees,0.6112,0.4486,0.7738,0.5725,0.5337,0.4162,0.6512,0.6268,,,,,,,1.0,0.5358,4.0,
stage_binary,LOO,LogisticRegression,0.5469,0.3526,0.7412,0.5343,0.4898,0.2878,0.6919,0.5948,,,,,,,1.0,0.4935,4.0,
behavior_stage,LOO,LogisticRegression,0.5102,0.3641,0.6563,0.5023,0.4811,0.3707,0.5915,0.5409,,,,,,,1.0,0.4832,4.0,
behavior_stage,LOO,GradientBoosting,0.4951,0.3866,0.6036,0.4636,0.4563,0.3692,0.5433,0.5326,,,,,,,1.0,0.4577,4.0,
